di_code,st_code,state23,dist23,A00_p10,A00_p50,A00_p90,A00_sum,A00_mean,A00_min,A00_max,A00_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.06299115724721122,0.017777777777778378,0.08882737408687959,28472.576755793423,0.014193471045116252,-0.19986159169550174,0.1929104190695886,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.017777777777778572,0.048227604767385544,0.0888273740868837,167711.92074395285,0.04221309412816245,-0.2069357939254133,0.19986159169550174,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.012056901191849111,0.055363321799311,0.10340638216072698,148168.75683029913,0.051203937220239026,-0.186082276047674,0.2069357939254133,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.05911572472125673,-9.21571384724021E-4,0.05536332179930739,-30467.260385387406,-0.001360047997333399,-0.19986159169550174,0.2679584775086506,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.051733948481344924,0.004490032772286798,0.06299115724721895,67903.58814264575,0.003937454713263997,-0.1929104190695886,0.2599000384467512,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.0448442906574509,0.01993079584775468,0.07535563244906046,312041.3812527489,0.017620286979976918,-0.19986159169550174,0.2364628988850442,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.02977316416763222,0.019930795847754153,0.07972318339099718,334761.84409537003,0.02214785848789068,-0.186082276047674,0.2599000384467512,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.048227604767393,0.0044887542613907625,0.051733948481344896,54388.54899619092,0.004096562416053462,-0.2069357939254133,0.2519646289888504,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.044844290657449194,9.061684195112336E-4,0.05173394848134672,33042.37975751318,0.0032363765819790366,-0.16633602460592078,0.2599000384467512,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.0415840061514674,0.012056901191847642,0.06299115724722638,240796.9854982058,0.011938971773321582,-0.17937716262975778,0.2519646289888504,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.06299115724722418,-9.237352461147337E-4,0.06299115724722307,-13581.46884367364,-8.905532984592275E-4,-0.24415224913494812,0.22145328719723184,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.06698961937717578,-0.004491023258239843,0.05536332179930992,-87771.7380074136,-0.00429386613226179,-0.2519646289888504,0.24415224913494812,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.06698961937717461,-0.02220684352172034,0.03254133025759196,-131181.21608394402,-0.019061921131819624,-0.19986159169550174,0.2364628988850442,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.03254133025758754,0.015747789311807054,0.07111111111111218,238232.28941414075,0.017524327009471145,-0.16633602460592078,0.2599000384467512,13613577
