di_code,st_code,state23,dist23,A14_p2,A14_p90,A14_p95,A14_p98,A14_sum,A14_mean,A14_min,A14_max,A14_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.3742560553632961,0.05911572472126447,0.07111111111111632,0.07972318339100681,-374574.131111877,-0.18672377740115265,-0.454963475586313,0.1085121107266436,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.3368550557478438,-0.07535563244905845,-0.021097489287507522,0.036983168852207836,-850407.686006911,-0.21404763321224396,-0.46560553633217994,0.13016532103037293,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.35530949634752357,-0.08421376393694728,-0.001706041088824813,0.044844290657438925,-651380.8439803999,-0.22510321713665266,-0.4444444444444444,0.11374086889657825,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.07111111111111337,0.12456747404847872,0.14173010380624287,0.15999999999999326,1474496.680684508,0.06582102336321399,-0.29287197231833906,0.2519646289888504,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.15378700499808473,0.11374086889658128,0.13016532103034043,0.14769703960016958,487815.9554819965,0.028286476247514673,-0.42377547097270285,0.24415224913494812,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.15378700499808612,0.11374086889656268,0.13016532103033734,0.14173010380623674,401378.93603439606,0.022664981202974832,-0.33685505574778934,0.2288965782391388,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.20693579392538647,0.09356401384085555,0.11374086889659028,0.1358861976163129,-349896.05508382013,-0.023149138559709674,-0.33685505574778934,0.2364628988850442,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.12456747404844618,0.11909265667053796,0.13016532103032805,0.14173010380623471,663490.4042145257,0.04997430347898602,-0.33685505574778934,0.2288965782391388,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.1301653210303716,0.11909265667053642,0.13016532103033027,0.14173010380623915,431171.29121243046,0.0422316031696924,-0.3188927335640138,0.2288965782391388,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.15999999999996897,0.11909265667053553,0.13016532103032707,0.1476970396001742,785357.8492540123,0.03893888112760475,-0.31009611687812383,0.2288965782391388,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.13016532103037248,0.11374086889656707,0.12456747404847561,0.1417301038062225,560732.6095148167,0.03676791374370948,-0.3839138792772011,0.22145328719723184,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.16633602460591326,0.11374086889656007,0.12456747404847507,0.1417301038062273,487026.43116533104,0.023825736458819,-0.3188927335640138,0.21413302575932336,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.15378700499808418,0.13016532103033032,0.1417301038062582,0.1476970396001733,187002.55878195673,0.027173311342601703,-0.3188927335640138,0.2288965782391388,6895077
