di_code,st_code,state23,dist23,A53_p2,A53_p90,A53_p95,A53_p98,A53_sum,A53_mean,A53_min,A53_max,A53_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.06698961937716283,0.13588619761629825,0.16633602460592412,0.19291041906958797,117852.34823018877,0.058748946628576014,-0.16633602460592078,0.34602076124567477,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.06299115724721137,0.10851211072665229,0.13016532103037157,0.15378700499807957,163528.17509542766,0.041160045256704386,-0.2069357939254133,0.31009611687812383,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.05911572472126315,0.11374086889657464,0.1301653210303729,0.1537870049980795,144562.27541848482,0.04995761477178924,-0.1929104190695886,0.3188927335640138,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.13588619761631063,0.00448244278144013,0.019930795847752588,0.03254133025759295,-1129217.7663508097,-0.0504078916926611,-0.2761399461745483,0.14769703960015382,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.1476970396001666,0.03691551010349158,0.051733948481346735,0.07111111111111611,-519870.0235400995,-0.030145162140365115,-0.28444444444444444,0.2364628988850442,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.1537870049980859,0.006820044323183676,0.024605920799692194,0.04158400615148119,-967517.2986684167,-0.05463356299791843,-0.28444444444444444,0.17279507881584008,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.15999999999996226,0.02106843838401956,0.036895788692977056,0.05536332179930683,-802645.258743591,-0.053103046001757026,-0.3014225297962323,0.19986159169550174,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.13588619761629528,0.004482584986798479,0.02220684352172081,0.0448442906574381,-757431.4793960894,-0.05704997446148271,-0.2761399461745483,0.19986159169550174,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.1301653210303713,0.0088581314878896,0.029773164167628905,0.05173394848135113,-543460.6578692659,-0.0532299234880347,-0.2761399461745483,0.1929104190695886,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.15378700499806155,-0.019930795847753497,-0.0026487445114322613,0.013840830449826919,-1556789.6130621755,-0.07718729206220912,-0.28444444444444444,0.13588619761630144,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.1245674740484612,0.05536332179930143,0.07972318339101303,0.1034063821607091,-323906.7074259629,-0.021238953607409305,-0.2679584775086506,0.2679584775086506,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.13588619761631882,0.025865249729591044,0.044844290657446655,0.06698961937716692,-732303.940775431,-0.03582491541356826,-0.2761399461745483,0.2288965782391388,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.15999999999999187,-0.004494938213751896,0.012056901191848548,0.029773164167627722,-517588.1103518433,-0.07521064396888123,-0.28444444444444444,0.14769703960015382,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.153787004998086,0.03543252595155462,0.048227604767397465,0.06698961937716601,-513480.5652111175,-0.03777154373110591,-0.2761399461745483,0.21413302575932336,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,-0.15378700499808645,8.997335296757896E-4,0.015747789311802814,0.03254133025759296,-475503.5168020641,-0.06567228422816493,-0.31009611687812383,0.15378700499807765,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,-0.16633602460583433,0.012056901191848709,0.029773164167627753,0.04822760476739426,-606016.761412004,-0.06234934900579407,-0.2679584775086506,0.186082276047674,9731922
628,12,ARUNACHAL PRADESH,ANJAW,-0.02584939532520027,0.25196462898889727,0.27613994617454274,0.30142252979620393,1120628.3767314877,0.14739596090099305,-0.17937716262975778,0.41362552864282975,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,-0.10340638216071131,0.13588619761632517,0.16633602460590582,0.2141330257593323,215969.029258529,0.03474768403203336,-0.24415224913494812,0.37425605536332185,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,-0.009639645776791227,0.25196462898895,0.27613994617452664,0.30142252979618706,1910671.03558321,0.15667922765439105,-0.16633602460592078,0.4340484429065744,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,-0.06299115724721124,0.2364628988850236,0.2761399461745444,0.3014225297961798,662085.1991433037,0.11929038946164744,-0.19986159169550174,0.4444444444444444,5558425
233,12,ARUNACHAL PRADESH,KURUNG KUMEY,-0.025863282041407896,0.2599000384468074,0.2844444444444769,0.3100961168781006,856967.6120868099,0.15264673504604043,-0.17279507881584008,0.4444444444444444,5621269
234,12,ARUNACHAL PRADESH,LOHIT,-0.10851211072664799,0.19291041906959358,0.23646289888505892,0.2679584775086474,207293.12462080075,0.053764359000669976,-0.2599000384467512,0.40359861591695495,3863405
235,12,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,-0.1034063821607236,0.19986159169548381,0.23646289888502886,0.267958477508688,254162.85149752576,0.0566917534099836,-0.2364628988850442,0.42377547097270285,4491587
237,12,ARUNACHAL PRADESH,PAPUMPARE,-0.1358861976162957,0.14173010380624407,0.17279507881585005,0.2141330257592807,145315.40443687097,0.03359943180268113,-0.2761399461745483,0.34602076124567477,4333778
238,12,ARUNACHAL PRADESH,TAWANG,0.02590243165724942,0.27613994617445836,0.29287197231836276,0.3188927335640467,588288.2668351223,0.19014930056171356,-0.12456747404844293,0.4340484429065744,3100277
239,12,ARUNACHAL PRADESH,TIRAP,-0.10851211072664194,0.119092656670524,0.1417301038062194,0.15999999999999776,44254.32677324047,0.030083359652975396,-0.22145328719723184,0.24415224913494812,1474824
240,12,ARUNACHAL PRADESH,UPPER SIANG,-0.07111111111111583,0.22889657823910478,0.2599000384467679,0.2844444444444719,934723.3325393889,0.10957711767973216,-0.22145328719723184,0.4340484429065744,8540336
241,12,ARUNACHAL PRADESH,UPPER SUBANSIRI,-0.0753556324490497,0.2441522491349861,0.2679584775087003,0.3014225297961977,997615.9147074835,0.12151015847056144,-0.2288965782391388,0.4340484429065744,8220067
242,12,ARUNACHAL PRADESH,WEST KAMENG,-0.07972318339100802,0.24415224913505254,0.2679584775087052,0.2928719723183122,771449.1865123264,0.12500625886521322,-0.28444444444444444,0.41362552864282975,6178998
719,12,ARUNACHAL PRADESH,LOWER SIANG,-0.13588619761630039,0.10851211072665193,0.12456747404845443,0.14173010380623763,17800.993762451468,0.007787463011144165,-0.2519646289888504,0.2519646289888504,2292082
236,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,-0.07535563244905845,0.1537870049980652,0.16633602460591174,0.18608227604769578,159605.82241445422,0.06529263739795617,-0.1929104190695886,0.2761399461745483,2449933
679,12,ARUNACHAL PRADESH,SIANG,-0.09356401384082459,0.16633602460591046,0.19986159169548678,0.24415224913492553,269770.5737282752,0.06165541872526833,-0.2364628988850442,0.40359861591695495,4383418
243,12,ARUNACHAL PRADESH,WEST SIANG,-0.09356401384082365,0.15378700499808928,0.18608227604769362,0.22145328719724075,94997.16539955398,0.056321221942089245,-0.2069357939254133,0.3553094963475586,1691102
725,12,ARUNACHAL PRADESH,SHI YOMI,-0.005743987039057093,0.2599000384467761,0.2761399461745687,0.30142252979620193,543729.687989576,0.16342884265982346,-0.15378700499807765,0.42377547097270285,3331997
724,12,ARUNACHAL PRADESH,LEPA RADA,-0.10340638216070412,0.13588619761632167,0.1537870049980862,0.16633602460592456,40654.18922300898,0.042007591281538435,-0.22145328719723184,0.2519646289888504,970650
723,12,ARUNACHAL PRADESH,PAKKE KESSANG,-0.12456747404844919,0.1301653210303553,0.14769703960016947,0.16633602460592478,60703.88163055019,0.025363748027492458,-0.2519646289888504,0.2519646289888504,2399368
677,12,ARUNACHAL PRADESH,KRA DAADI,-0.06698961937716377,0.18608227604770963,0.20693579392538664,0.22889657823914095,207664.19939455457,0.09336639568387882,-0.17937716262975778,0.3839138792772011,2229870
678,12,ARUNACHAL PRADESH,NAMSAI,-0.12456747404843786,0.012056901191848438,0.029773164167627066,0.04822760476739543,-71150.6909985552,-0.042095604011594775,-0.2364628988850442,0.15378700499807765,1693784
718,12,ARUNACHAL PRADESH,KAMLE,-0.10340638216070445,0.14173010380623244,0.1600000000000148,0.1727950788158497,80967.44786170362,0.04659504896624783,-0.22145328719723184,0.29287197231833906,1742339
232,12,ARUNACHAL PRADESH,EAST SIANG,-0.13588619761629953,0.06698961937716544,0.11374086889657499,0.15378700499808154,-51073.52830915802,-0.02405802656080318,-0.2519646289888504,0.28444444444444444,2127307
666,12,ARUNACHAL PRADESH,LONGDING,-0.11909265667050613,0.10851211072666277,0.1245674740484707,0.13588619761630835,23440.818080040204,0.02002314999749785,-0.21413302575932336,0.22145328719723184,1174145
616,18,ASSAM,BAKSA,-0.11909265667050788,0.01993079584775246,0.03543252595155933,0.05173394848135298,-116081.2914173093,-0.03811214458038682,-0.2364628988850442,0.16000000000000003,3055457
280,18,ASSAM,BARPETA,-0.13588619761629978,0.006823125119088816,0.027128027681660595,0.04484429065743796,-166253.6661953571,-0.05832839160182702,-0.2364628988850442,0.16000000000000003,2859045
705,18,ASSAM,BISWANATH,-0.1245674740484477,0.010396001537870288,0.024605920799691938,0.041584006151481015,-120198.60171373084,-0.04331645385730409,-0.22145328719723184,0.14769703960015382,2780367
281,18,ASSAM,BONGAIGAON,-0.14173010380623705,0.02977316416762954,0.04822760476739675,0.06698961937716044,-65563.57870346757,-0.04711624506944689,-0.2288965782391388,0.16633602460592078,1397646
282,18,ASSAM,CACHAR,-0.1358861976162982,0.04822760476739872,0.06698961937716871,0.08421376393694449,-134791.49037397862,-0.028977511240335877,-0.2761399461745483,0.19986159169550174,4659875
708,18,ASSAM,CHARAIDEO,-0.11909265667050747,0.02460592079969262,0.04158400615148111,0.0591157247212628,-42385.72640904643,-0.03340696003243543,-0.2288965782391388,0.17279507881584008,1273387
612,18,ASSAM,CHIRANG,-0.1137408688965737,0.02220684352172248,0.03543252595155878,0.05173394848135286,-79596.93679274662,-0.03332998791597822,-0.2364628988850442,0.186082276047674,2393821
283,18,ASSAM,DARRANG,-0.14173010380622078,9.046601839101932E-4,0.019930795847751374,0.0384467512495199,-120771.26513164303,-0.06120270876877163,-0.2364628988850442,0.15378700499807765,1980527
284,18,ASSAM,DHEMAJI,-0.13016532103036935,-9.29481882029516E-4,0.019930795847751006,0.04484429065743872,-176494.26690982742,-0.056571946523888715,-0.24415224913494812,0.22145328719723184,3127982
285,18,ASSAM,DHUBRI,-0.1727950788158502,-0.019930795847750923,8.960115902786166E-4,0.02220684352172241,-180536.73958056315,-0.08752427641235061,-0.2599000384467512,0.13016532103037293,2073149
