di_code,st_code,state23,dist23,A61_p2,A61_p90,A61_p95,A61_p98,A61_sum,A61_mean,A61_min,A61_max,A61_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.29287197231832474,-0.07111111111111262,-0.03701656061353405,0.00965609498698858,-333056.24968883727,-0.16602727167612796,-0.36472126105344094,0.16000000000000003,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.2761399461745499,-0.12456747404846381,-0.10340638216071389,-0.07111111111111125,-739329.861113076,-0.18608934225119986,-0.3839138792772011,0.17937716262975778,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.310096116878103,-0.11909265667051905,-0.0935640138408254,-0.06299115724721162,-593702.3205684721,-0.20517075934379292,-0.39369473279507883,0.13588619761630144,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.08421376393694995,0.06698961937717507,0.07972318339101654,0.09842368319876686,281271.60089607176,0.012555867270853638,-0.1929104190695886,0.1929104190695886,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.1358861976163089,0.01676547462306208,0.03689630881398047,0.055363321799305996,-745969.3418105689,-0.04325574805696892,-0.2761399461745483,0.2364628988850442,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.10851211072665012,0.06698961937717486,0.08421376393696352,0.10340638216072277,14990.621116671853,8.464872351975373E-4,-0.2364628988850442,0.22145328719723184,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.18608227604765537,9.043699919254783E-4,0.017777777777779433,0.03543252595155875,-1164952.298978509,-0.07707329589081974,-0.2679584775086506,0.16633602460592078,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.10851211072664767,0.024605920799692243,0.04158400615148126,0.06299115724721126,-332584.3723199951,-0.025050358300756324,-0.22145328719723184,0.16633602460592078,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.13016532103037068,0.004481350107717079,0.019930795847752116,0.03543252595155882,-453964.83929829736,-0.04446414531062396,-0.2364628988850442,0.17279507881584008,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.12456747404847168,0.055363321799314136,0.07111111111111923,0.08882737408688453,-164519.6331552773,-0.008157059160579537,-0.2519646289888504,0.186082276047674,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.1245674740484222,0.08421376393696604,0.1034063821607306,0.12456747404845704,143063.7626422171,0.009380863526433754,-0.2761399461745483,0.2364628988850442,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.1245674740484618,0.05911572472126083,0.07535563244906511,0.09356401384083438,-136338.8747157796,-0.0066698106924044515,-0.24415224913494812,0.21413302575932336,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.17937716262978445,-0.051733948481346693,-0.03543252595155966,-0.01039600153787017,-692953.1538895521,-0.10069290986779494,-0.2761399461745483,0.11909265667051133,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.19291041906958561,-0.02712802768166205,-0.004499814486079666,0.019930795847751138,-1226689.204024938,-0.09023505085387845,-0.29287197231833906,0.19986159169550174,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,-0.17279507881584927,-0.029773164167629547,-0.010396001537870259,0.015747789311802908,-603686.0844320853,-0.08337571168356873,-0.2679584775086506,0.19986159169550174,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,-0.16633602460586622,0.004485775863082102,0.01777777777777921,0.03254133025759096,-613711.056816317,-0.06314096788511256,-0.2519646289888504,0.13588619761630144,9731922
628,12,ARUNACHAL PRADESH,ANJAW,-0.06299115724721137,0.25990003844675097,0.2928719723183275,0.3188927335640396,1015115.9731178171,0.13351794171057166,-0.33685505574778934,0.4444444444444444,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,-0.14769703960016792,0.12456747404846114,0.1663360246059144,0.21413302575933188,-38208.87662705824,-0.006147501689543906,-0.29287197231833906,0.4340484429065744,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,-0.036910801664694244,0.2679584775086974,0.30142252979619444,0.32781237985390665,1793657.4774480849,0.14708385850278427,-0.31009611687812383,0.46560553633217994,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,-0.1301653210303731,0.22145328719722018,0.276139946174548,0.32781237985395156,403351.9304767263,0.07267343982154426,-0.3188927335640138,0.48725874663590923,5558425
233,12,ARUNACHAL PRADESH,KURUNG KUMEY,-0.08421376393695276,0.2519646289888913,0.2928719723183409,0.33685505574780833,656634.058557395,0.11696246596150635,-0.3188927335640138,0.46560553633217994,5621269
234,12,ARUNACHAL PRADESH,LOHIT,-0.17937716262976688,0.18608227604769953,0.2214532871972313,0.25990003844674797,89373.53471508595,0.02318027100209263,-0.3278123798539023,0.4340484429065744,3863405
235,12,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,-0.17937716262979997,0.19291041906957582,0.23646289888500985,0.27613994617455834,120100.01146723778,0.0267886522145945,-0.3188927335640138,0.46560553633217994,4491587
237,12,ARUNACHAL PRADESH,PAPUMPARE,-0.14769703960016592,0.12456747404845826,0.16000000000001377,0.1929104190696037,4874.177432303542,0.001126994022866972,-0.2599000384467512,0.3553094963475586,4333778
238,12,ARUNACHAL PRADESH,TAWANG,-0.08882737408687899,0.2679584775086771,0.3014225297962047,0.3278123798538886,447882.2448850438,0.1447666057612704,-0.3014225297962323,0.4444444444444444,3100277
239,12,ARUNACHAL PRADESH,TIRAP,-0.14173010380624113,0.06299115724721124,0.09842368319876402,0.13588619761630166,-53123.56964340913,-0.036112524314773145,-0.24415224913494812,0.28444444444444444,1474824
240,12,ARUNACHAL PRADESH,UPPER SIANG,-0.11374086889657427,0.2441522491349278,0.2928719723183077,0.3368550557478188,866670.0603891732,0.10159926888608307,-0.3553094963475586,0.47637062668204533,8540336
241,12,ARUNACHAL PRADESH,UPPER SUBANSIRI,-0.13588619761629595,0.2519646289888746,0.2928719723183176,0.3368550557477893,836880.6136799743,0.10193251179138549,-0.3553094963475586,0.47637062668204533,8220067
242,12,ARUNACHAL PRADESH,WEST KAMENG,-0.1537870049980849,0.18608227604770547,0.22889657823911994,0.2844444444444676,281116.310386404,0.04555231748479514,-0.33685505574778934,0.454963475586313,6178998
