di_code,st_code,state23,dist23,A02_p2,A02_p90,A02_p95,A02_p98,A02_sum,A02_mean,A02_min,A02_max,A02_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.16633602460592475,0.06698961937716262,0.09356401384082717,0.124567474048441,-53763.00444634366,-0.026800652903758264,-0.2761399461745483,0.2519646289888504,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.0935640138408269,0.07111111111111744,0.09356401384082402,0.11909265667050953,13890.093632405826,0.0034961368718024093,-0.21413302575932336,0.31009611687812383,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.11909265667051198,0.06299115724721124,0.08421376393694426,0.10851211072664305,-23915.494196824016,-0.008264680690057293,-0.2599000384467512,0.29287197231833906,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,0.025967509650564456,0.17937716262982936,0.19291041906955586,0.21413302575930812,2717907.0549715376,0.12132643369619309,-0.14173010380622836,0.39369473279507883,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.036897553257873326,0.15999999999996012,0.179377162629808,0.19291041906959538,1554640.1967786488,0.09014730351769674,-0.2288965782391388,0.33685505574778934,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.016753067596551936,0.16633602460582922,0.18608227604771355,0.20693579392539166,1778449.6160797374,0.10042511826138985,-0.13016532103037293,0.37425605536332185,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,0.016824247312056718,0.20693579392537467,0.22145328719727111,0.2364628988850205,2133424.5874715736,0.1411474655529909,-0.13588619761630144,0.3839138792772011,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.00885813148788938,0.14769703960016548,0.15999999999999867,0.17937716262977668,1135991.1855545354,0.08556320919752139,-0.11374086889657825,0.3553094963475586,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.01293919637334243,0.17279507881578685,0.19291041906954276,0.21413302575926574,953252.3544554118,0.09336747592988935,-0.12456747404844293,0.3839138792772011,10225813
511,28,ANDHRA PRADESH,KURNOOL,0.02712802768166148,0.18608227604766028,0.19986159169548293,0.2214532871972216,2532212.099176449,0.1255497809226365,-0.10340638216070744,0.36472126105344094,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.09842368319879234,0.15999999999997097,0.179377162629818,0.19986159169548437,873149.1642791494,0.05725344417794107,-0.2599000384467512,0.31009611687812383,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.024605920799693228,0.1476970396001476,0.15999999999998457,0.17937716262978573,1696277.6133387496,0.08298330601832121,-0.16633602460592078,0.3188927335640138,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,0.024605920799692198,0.18608227604766592,0.19986159169548387,0.22145328719722493,829694.0941300641,0.12056271361079082,-0.08882737408688965,0.3553094963475586,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,0.027128027681661365,0.20693579392537545,0.22145328719724824,0.23646289888502492,1905856.7766787724,0.14019450289408575,-0.11909265667051133,0.37425605536332185,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,0.0448442906574382,0.19986159169548284,0.21413302575925527,0.23646289888503416,1003538.1177342489,0.13859969100728037,-0.10340638216070744,0.36472126105344094,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,0.001750672819024537,0.21413302575922116,0.24415224913499636,0.26795847750868973,1378239.9026580178,0.1417986533975003,-0.10340638216070744,0.41362552864282975,9731922
628,12,ARUNACHAL PRADESH,ANJAW,-0.12456747404845205,0.21413302575924775,0.24415224913496242,0.2679584775086816,639140.2714832509,0.0840659547999007,-0.2679584775086506,0.3839138792772011,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,-0.03691062275295204,0.22889657823909987,0.2441522491349391,0.2679584775086657,859448.8699933084,0.1382784276002214,-0.19986159169550174,0.36472126105344094,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,-0.16000000000000553,0.1793771626298162,0.20693579392537967,0.23646289888500452,671498.2001214579,0.05506432944603131,-0.28444444444444444,0.3553094963475586,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,-0.13588619761630782,0.21413302575923224,0.2364628988850132,0.2519646289888487,444481.451329948,0.08008390084272443,-0.2679584775086506,0.3553094963475586,5558425
233,12,ARUNACHAL PRADESH,KURUNG KUMEY,-0.1793771626297863,0.1860822760477023,0.21413302575925597,0.24415224913494832,248222.30847894168,0.04421441886541597,-0.28444444444444444,0.3553094963475586,5621269
