di_code,st_code,state23,dist23,A52_p2,A52_p90,A52_p95,A52_p98,A52_sum,A52_mean,A52_min,A52_max,A52_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.22889657823913645,-0.005828989620043142,0.012957999664108093,0.03687067933433028,-184640.30809025452,-0.09204249018688239,-0.33685505574778934,0.1929104190695886,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.17937716262975226,-0.0168173496193785,0.012969123228217586,0.03687942948028135,-355902.93025430024,-0.08958077534780913,-0.34602076124567477,0.21413302575932336,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.19986159169549278,-0.005820661009571732,0.016790005324340336,0.04158400615148077,-229014.89831349452,-0.07914262579103752,-0.36472126105344094,0.16633602460592078,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.15999999999998807,0.04158400615147853,0.06299115724721115,0.09356401384082488,-751710.6382318569,-0.03355610367224845,-0.33685505574778934,0.2364628988850442,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.16633602460589955,0.025855546745549726,0.05173394848134866,0.07972318339100745,-718610.4107254242,-0.04166931418657064,-0.42377547097270285,0.22145328719723184,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.1727950788157781,0.016769539853936755,0.041584006151481216,0.07111111111111387,-978281.5194888874,-0.055241394751550196,-0.33685505574778934,0.22145328719723184,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.1998615916954866,0.009646577519459507,0.029773164167629835,0.051733948481349434,-1026778.1958444159,-0.06793169108464815,-0.36472126105344094,0.1929104190695886,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.18608227604769573,-0.021130314721488727,0.0016816476730172772,0.02584878792069354,-1152458.9672657615,-0.08680356763471202,-0.36472126105344094,0.2288965782391388,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.1929104190695899,-0.016818939182062117,0.009652783226199228,0.03688823690782066,-870036.0543645726,-0.08521675292418049,-0.36472126105344094,0.16633602460592078,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.166336024605871,0.021084110343530485,0.048227604767398,0.0753556324490522,-1330717.6723112366,-0.0659784037375436,-0.33685505574778934,0.2364628988850442,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.21413302575945584,-0.025936304913244734,-0.009676932545547108,0.012946648971897946,-1407243.477832347,-0.09227465271568136,-0.41362552864282975,0.17279507881584008,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.16633602460592226,-0.0058367883784130915,0.016756785308394376,0.04158400615148106,-1380942.7557965177,-0.06755686356815783,-0.37425605536332185,0.1929104190695886,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.16000000000000167,0.0016806021576091241,0.02105928915292542,0.04484429065743806,-432889.20524161984,-0.06290305986987878,-0.34602076124567477,0.16633602460592078,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.1600000000000084,0.07111111111111429,0.09356401384085554,0.11374086889659282,-123121.96979621236,-0.009056831322341245,-0.37425605536332185,0.2364628988850442,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,-0.1537870049980841,0.0016843139721394278,0.02586226099013311,0.051733948481352585,-428693.93219123856,-0.059207363914138916,-0.33685505574778934,0.1929104190695886,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,-0.19291041906955256,-0.025935660985875426,-0.001751952771240503,0.02585281467264436,-932822.6109500465,-0.09597239917111715,-0.3553094963475586,0.17937716262975778,9731922
628,12,ARUNACHAL PRADESH,ANJAW,-0.035432525951558234,0.11909265667052879,0.1417301038062225,0.16000000000000253,456459.85880053596,0.060038047311341255,-0.17279507881584008,0.2599000384467512,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,0.019930795847751218,0.13016532103033368,0.14769703960017092,0.1600000000000052,559228.7548472616,0.08997541981724999,-0.17279507881584008,0.2599000384467512,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,-0.05173394848134919,0.13016532103033862,0.15378700499806297,0.17279507881585046,758273.0212912794,0.06218005565296865,-0.17279507881584008,0.2679584775086506,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,-0.03844675124952119,0.12456747404847109,0.14173010380622814,0.16633602460592475,386506.5934524725,0.06963835186483401,-0.1929104190695886,0.28444444444444444,5558425
233,12,ARUNACHAL PRADESH,KURUNG KUMEY,-0.05536332179930691,0.13016532103034525,0.14769703960016878,0.1727950788158491,380115.23771345505,0.06770775133136622,-0.21413302575932336,0.2679584775086506,5621269
234,12,ARUNACHAL PRADESH,LOHIT,-0.03688905139229116,0.11909265667052797,0.13588619761630524,0.1537870049980824,266843.45273741265,0.06920956600078648,-0.2761399461745483,0.2679584775086506,3863405
