di_code,st_code,state23,dist23,A39_p2,A39_p90,A39_p95,A39_p98,A39_sum,A39_mean,A39_min,A39_max,A39_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.19291041906959258,0.1301653210303707,0.1793771626297536,0.2288965782391365,-54060.5489098264,-0.026948977685294504,-0.31009611687812383,0.42377547097270285,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.22889657823911264,0.05173394848135359,0.11909265667051311,0.1727950788158433,-368566.8985146607,-0.0927682964365862,-0.3278123798539023,0.3839138792772011,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.20693579392540204,0.09356401384082977,0.15378700499807926,0.19986159169550002,-220277.17217953902,-0.0761230554714787,-0.3188927335640138,0.4340484429065744,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.12456747404843968,0.06299115724721985,0.07972318339101446,0.09842368319876864,73142.8620304202,0.00326507213859692,-0.3553094963475586,0.3188927335640138,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.13588619761629692,0.09356401384084287,0.12456747404845907,0.16000000000000825,117202.92184265569,0.006796123881528004,-0.34602076124567477,0.454963475586313,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.1137408688965746,0.1034063821607363,0.12456747404846757,0.14769703960016542,477430.2597211731,0.02695943132746877,-0.3188927335640138,0.33685505574778934,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.17937716262979786,0.13588619761630083,0.17279507881584988,0.22145328719722202,-102412.9999448911,-0.0067756486293390405,-0.33685505574778934,0.37425605536332185,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.079723183391005,0.10851211072666404,0.13016532103036826,0.16633602460592425,678070.949175026,0.051072514657499846,-0.31009611687812383,0.36472126105344094,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.14769703960016065,0.17937716262980266,0.214133025759238,0.24415224913500275,485148.4425546723,0.047518461738837954,-0.34602076124567477,0.36472126105344094,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.14769703960017233,0.05536332179931124,0.07111111111111919,0.0935640138408255,-114240.8319901774,-0.005664182488288102,-0.33685505574778934,0.31009611687812383,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.05536332179930871,0.1599999999999849,0.18608227604768507,0.21413302575932466,1149355.7826951628,0.07536464539762563,-0.29287197231833906,0.39369473279507883,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.1137408688966012,0.13016532103033168,0.14769703960017405,0.17937716262977202,1049136.963683599,0.05132464935449352,-0.29287197231833906,0.37425605536332185,20457221
