di_code,st_code,state23,dist23,A06_p2,A06_p90,A06_p95,A06_p98,A06_sum,A06_mean,A06_min,A06_max,A06_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.07535563244905312,0.1727950788158498,0.1860822760476889,0.2069357939254105,107348.46942084655,0.05351280305714903,-0.17279507881584008,0.37425605536332185,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.10340638216070813,0.08421376393694617,0.12456747404844397,0.15378700499807949,-34072.4088175609,-0.008576026046382221,-0.22145328719723184,0.2761399461745483,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.11374086889657475,0.10340638216070645,0.14173010380623466,0.17279507881584594,4728.157344671316,0.0016339495385065878,-0.21413302575932336,0.3278123798539023,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.04822760476739497,0.10851211072666345,0.1301653210303615,0.15378700499808504,1086567.7932714592,0.048504011601731935,-0.186082276047674,0.29287197231833906,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.07535563244905037,0.14173010380623793,0.1793771626298112,0.20693579392538172,968166.3712992145,0.05614005601423674,-0.2364628988850442,0.3839138792772011,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.07535563244905259,0.14769703960015595,0.1727950788158432,0.1998615916954864,1030375.0669944977,0.05818300221774208,-0.22145328719723184,0.34602076124567477,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.19291041906954487,0.07972318339099622,0.10340638216072724,0.13588619761630746,-359142.3228575287,-0.02376087204668049,-0.3014225297962323,0.29287197231833906,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.07972318339101198,0.1929104190695188,0.2069357939253769,0.22889657823911352,1459077.3364131416,0.10989815850546188,-0.22145328719723184,0.3278123798539023,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.07111111111111623,0.19291041906954495,0.20693579392537578,0.22145328719722762,966206.2996174882,0.09463626604350855,-0.2288965782391388,0.3188927335640138,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.10851211072666093,0.13016532103033593,0.15378700499801948,0.17937716262979653,807692.4592880543,0.04004625495212697,-0.24415224913494812,0.31009611687812383,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.025872214587450336,0.22145328719727572,0.2441522491349908,0.25990003844676585,1999167.324919171,0.1310878135399903,-0.17937716262975778,0.36472126105344094,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.10340638216072615,0.18608227604762867,0.19986159169548845,0.22145328719721658,1783553.9000293126,0.08725293426173741,-0.24415224913494812,0.3278123798539023,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.17937716262979556,0.11374086889656408,0.13016532103033895,0.14173010380623,40084.35761157696,0.005824651472376875,-0.3014225297962323,0.2599000384467512,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.1929104190695703,0.05173394848134672,0.07972318339101346,0.10851211072664677,-644358.3307927669,-0.0473988900826941,-0.29287197231833906,0.2599000384467512,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,-0.186082276047695,0.0888273740868687,0.10851211072665987,0.12456747404845975,-88158.6293101297,-0.01217567979340576,-0.3014225297962323,0.2364628988850442,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,-0.1537870049980376,0.11909265667053139,0.1476970396001737,0.17279507881584993,278005.32483850885,0.028602263382020703,-0.28444444444444444,0.3188927335640138,9731922
628,12,ARUNACHAL PRADESH,ANJAW,-0.18608227604770256,0.15378700499804548,0.1793771626297995,0.19986159169548628,-71882.67277646455,-0.00945470938092919,-0.29287197231833906,0.29287197231833906,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,-0.21413302575931364,-0.021120813314865934,0.009642536647771916,0.051733948481352154,-727414.6465739191,-0.11703518039693911,-0.29287197231833906,0.24415224913494812,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,-0.172795078815851,0.1727950788158341,0.1929104190695507,0.21413302575926121,153968.27580046735,0.012625737286236735,-0.29287197231833906,0.3014225297962323,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,-0.2141330257592802,0.04484429065743776,0.13016532103036194,0.17937716262978873,-510086.94471328123,-0.09190429022259251,-0.3014225297962323,0.31009611687812383,5558425
