di_code,st_code,state23,dist23,A45_p2,A45_p90,A45_p95,A45_p98,A45_sum,A45_mean,A45_min,A45_max,A45_count
603,35,ANDAMAN & NICOBAR,NICOBAR,-0.07535563244905906,0.09842368319876699,0.11909265667050914,0.14173010380622983,57748.8471060989,0.028787580285387467,-0.17937716262975778,0.2761399461745483,2020602
632,35,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-0.08882737408688562,0.0842137639369464,0.12456747404843942,0.15378700499807874,10665.49697646077,0.0026845058228051094,-0.22145328719723184,0.29287197231833906,4003957
602,35,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-0.08882737408688968,0.08421376393694587,0.11374086889657523,0.1417301038062324,5561.397611484018,0.0019218994627954052,-0.2364628988850442,0.28444444444444444,2916597
502,28,ANDHRA PRADESH,ANANTAPUR,-0.05173394848134994,0.1417301038062515,0.15378700499804634,0.17279507881585043,1707539.695345662,0.07622398317559198,-0.21413302575932336,0.3188927335640138,22430270
503,28,ANDHRA PRADESH,CHITTOOR,-0.12456747404845324,0.09842368319874516,0.1137408688965965,0.1358861976163061,429148.53836728726,0.024884589773591193,-0.2599000384467512,0.3278123798539023,17269415
504,28,ANDHRA PRADESH,Y S R KADAPA,-0.10851211072665273,0.113740868896597,0.1301653210303547,0.1537870049980864,613027.6864483726,0.03461631825409206,-0.24415224913494812,0.31009611687812383,17724326
505,28,ANDHRA PRADESH,EAST GODAVARI,-0.10340638216072143,0.09842368319875675,0.11909265667052123,0.13588619761629914,254911.18556135223,0.016864935369351294,-0.21413302575932336,0.29287197231833906,15133939
506,28,ANDHRA PRADESH,GUNTUR,-0.04484429065743845,0.12456747404846978,0.1417301038062611,0.15378700499805265,964136.8285762834,0.0726190856122158,-0.2364628988850442,0.3188927335640138,13291974
510,28,ANDHRA PRADESH,KRISHNA,-0.04484429065743807,0.1476970396000422,0.1599999999999598,0.17279507881584158,860204.4558636448,0.08425378489992405,-0.1929104190695886,0.29287197231833906,10225813
511,28,ANDHRA PRADESH,KURNOOL,-0.04484429065744336,0.1358861976163194,0.1537870049980422,0.1727950788158502,1418704.0959526172,0.07034086461352407,-0.186082276047674,0.3188927335640138,20185908
515,28,ANDHRA PRADESH,POTTI SRIRAMULU NELLORE,-0.0842137639369482,0.11374086889658709,0.13588619761632567,0.15378700499806522,764397.418481192,0.050122460994286105,-0.2288965782391388,0.34602076124567477,15263341
517,28,ANDHRA PRADESH,PRAKASAM,-0.06299115724721129,0.12456747404847578,0.14173010380623494,0.16000000000000847,1304917.6163336334,0.06383765076742025,-0.24415224913494812,0.3014225297962323,20457221
519,28,ANDHRA PRADESH,SRIKAKULAM,-0.059115724721263654,0.1476970396001429,0.15999999999996697,0.17937716262979794,544066.5542167735,0.07905822233195746,-0.186082276047674,0.28444444444444444,6895077
520,28,ANDHRA PRADESH,VISAKHAPATNAM,-0.12456747404844701,0.09842368319874654,0.11374086889659553,0.13588619761629966,229778.63779178978,0.016902477822618514,-0.2288965782391388,0.2679584775086506,13613577
521,28,ANDHRA PRADESH,VIZIANAGARAM,-0.08421376393694625,0.11909265667053551,0.13588619761633994,0.14769703960016814,404289.9435773671,0.05583690371790403,-0.2364628988850442,0.2679584775086506,7256513
523,28,ANDHRA PRADESH,WEST GODAVARI,-0.07972318339101106,0.1190926566705284,0.13588619761634785,0.15378700499805112,253253.59497133555,0.02605570965240144,-0.186082276047674,0.3014225297962323,9731922
628,12,ARUNACHAL PRADESH,ANJAW,0.029773164167627764,0.28444444444448186,0.3014225297962573,0.31889273356406417,1370263.722765507,0.180230433476867,-0.08421376393694734,0.4444444444444444,7611073
229,12,ARUNACHAL PRADESH,CHANGLANG,0.012056901191848933,0.2214532871972202,0.2519646289888593,0.27613994617455545,801738.2014655216,0.12899324406179627,-0.07972318339100345,0.40359861591695495,6227191
230,12,ARUNACHAL PRADESH,DIBANG VALLEY,0.02977316416762776,0.2928719723183775,0.31009611687814725,0.3278123798539101,2238077.287465568,0.18352726047574416,-0.07535563244905807,0.4444444444444444,12207130
231,12,ARUNACHAL PRADESH,EAST KAMENG,0.021156399235308945,0.2761399461745188,0.2928719723183203,0.3188927335640557,892611.8474127247,0.16082524583501182,-0.07972318339100345,0.42377547097270285,5558425
233,12,ARUNACHAL PRADESH,KURUNG KUMEY,0.02115245953866048,0.2844444444444735,0.3100961168781145,0.32781237985394124,957654.5185200108,0.1705815173086837,-0.07535563244905807,0.4340484429065744,5621269
234,12,ARUNACHAL PRADESH,LOHIT,0.029773164167628506,0.2599000384467818,0.28444444444447287,0.30142252979618384,579138.5185614234,0.15020764089504254,-0.0629911572472126,0.41362552864282975,3863405
235,12,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0.03254133025759314,0.26795847750870133,0.2928719723183128,0.31009611687810473,708764.0451456922,0.15809185424429825,-0.09842368319876971,0.4340484429065744,4491587
