system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
00000000000000000248,x10221,97740.79215686282,"BIHAR, SITAMARHI",2.1095567062E9,381932.319218,221,SITAMARHI,10,"BIHAR, SITAMARHI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000249,x10222,40594.486274509814,"BIHAR, SIWAN",2.13775467717E9,311945.385384,222,SIWAN,10,"BIHAR, SIWAN",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,x10223,106903.63921568621,"BIHAR, SUPAUL",2.33173930496E9,373518.129118,223,SUPAUL,10,"BIHAR, SUPAUL",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a,x10224,142797.231372549,"BIHAR, VAISHALI",1.96103061486E9,264300.277306,224,VAISHALI,10,"BIHAR, VAISHALI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,x04044,120.53725490196078,"CHANDIGARH, CHANDIGARH",1.11867387146E8,62113.0763786,044,CHANDIGARH,04,"CHANDIGARH, CHANDIGARH",CHANDIGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,x22646,4354.352941176471,"CHHATTISGARH, BALOD",3.24954077194E9,415028.307589,646,BALOD,22,"CHHATTISGARH, BALOD",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,x22644,2014.3764705882336,"CHHATTISGARH, BALODA BAZAR",4.49546828535E9,485313.897069,644,BALODA BAZAR,22,"CHHATTISGARH, BALODA BAZAR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,x22649,42.949019607843134,"CHHATTISGARH, BALRAMPUR",6.02907827035E9,652255.344408,649,BALRAMPUR,22,"CHHATTISGARH, BALRAMPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,x22374,214.21176470588233,"CHHATTISGARH, BASTAR",5.22870039879E9,569531.125976,374,BASTAR,22,"CHHATTISGARH, BASTAR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,x22650,113.15686274509804,"CHHATTISGARH, BEMETARA",2.15542565804E9,379763.712487,650,BEMETARA,22,"CHHATTISGARH, BEMETARA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,x22636,562.0117647058822,"CHHATTISGARH, BIJAPUR",8.96248368311E9,717764.340336,636,BIJAPUR,22,"CHHATTISGARH, BIJAPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,x22375,2588.9176470588236,"CHHATTISGARH, BILASPUR",3.41074793882E9,447081.507856,375,BILASPUR,22,"CHHATTISGARH, BILASPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,x22734,339.0,"CHHATTISGARH, GAURELA-PENDRA-MARWAHI",1.91821880612E9,269819.936493,734,GAURELA-PENDRA-MARWAHI,22,"CHHATTISGARH, GAURELA-PENDRA-MARWAHI",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,x22376,14.619607843137256,"CHHATTISGARH, DAKSHIN BASTAR DANTEWADA",2.73346171007E9,460460.217934,376,DAKSHIN BASTAR DANTEWADA,22,"CHHATTISGARH, DAKSHIN BASTAR DANTEWADA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,x22377,8856.243137254902,"CHHATTISGARH, DHAMTARI",3.94316756126E9,432007.387399,377,DHAMTARI,22,"CHHATTISGARH, DHAMTARI",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,x22378,356.5686274509804,"CHHATTISGARH, DURG",2.2141126565E9,341679.975518,378,DURG,22,"CHHATTISGARH, DURG",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,x22645,1381.5333333333335,"CHHATTISGARH, GARIYABAND",4.67547642045E9,512147.53487,645,GARIYABAND,22,"CHHATTISGARH, GARIYABAND",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,x22379,3106.588235294119,"CHHATTISGARH, JANJGIR - CHAMPA",4.32184860473E9,555226.652558,379,JANJGIR - CHAMPA,22,"CHHATTISGARH, JANJGIR - CHAMPA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,x22380,85.0,"CHHATTISGARH, JASHPUR",5.6276599563E9,501891.723783,380,JASHPUR,22,"CHHATTISGARH, JASHPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,x22382,830.1921568627452,"CHHATTISGARH, KABIRDHAM",4.03790547631E9,434302.991254,382,KABIRDHAM,22,"CHHATTISGARH, KABIRDHAM",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,x22381,1026.5647058823529,"CHHATTISGARH, UTTAR BASTAR KANKER",6.94450641657E9,645466.929563,381,UTTAR BASTAR KANKER,22,"CHHATTISGARH, UTTAR BASTAR KANKER",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,x22643,42.517647058823535,"CHHATTISGARH, KONDAGAON",4.90872015587E9,478627.416097,643,KONDAGAON,22,"CHHATTISGARH, KONDAGAON",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,x22383,14761.949019607844,"CHHATTISGARH, KORBA",6.34759518058E9,484704.9238,383,KORBA,22,"CHHATTISGARH, KORBA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,x22384,452.9137254901961,"CHHATTISGARH, KOREA",6.3488566862E9,540618.790013,384,KOREA,22,"CHHATTISGARH, KOREA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,x22385,2847.3568627450973,"CHHATTISGARH, MAHASAMUND",4.57957772743E9,522464.375447,385,MAHASAMUND,22,"CHHATTISGARH, MAHASAMUND",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,x22647,2111.835294117647,"CHHATTISGARH, MUNGELI",2.67235299736E9,435239.289606,647,MUNGELI,22,"CHHATTISGARH, MUNGELI",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,x22637,17.0,"CHHATTISGARH, NARAINPUR",3.77233235934E9,437577.549867,637,NARAINPUR,22,"CHHATTISGARH, NARAINPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123,x22386,5975.83529411765,"CHHATTISGARH, RAIGARH",6.78167987332E9,713130.615899,386,RAIGARH,22,"CHHATTISGARH, RAIGARH",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124,x22387,1582.811764705883,"CHHATTISGARH, RAIPUR",2.79875529906E9,291574.899423,387,RAIPUR,22,"CHHATTISGARH, RAIPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126,x22388,2798.372549019608,"CHHATTISGARH, RAJ NANDGAON",7.78016435847E9,766223.946513,388,RAJ NANDGAON,22,"CHHATTISGARH, RAJ NANDGAON",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,x22642,0.6509803921568628,"CHHATTISGARH, SUKMA",5.31945668429E9,629317.531683,642,SUKMA,22,"CHHATTISGARH, SUKMA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,x22648,819.8392156862745,"CHHATTISGARH, SURAJPUR",5.24540163562E9,585291.43373,648,SURAJPUR,22,"CHHATTISGARH, SURAJPUR",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,x22389,3190.0,"CHHATTISGARH, SURGUJA",3.85266285228E9,441465.848585,389,SURGUJA,22,"CHHATTISGARH, SURGUJA",CHHATTISGARH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,x38463,230.1764705882353,"DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN",6.89694413302E7,49913.1493444,463,DAMAN,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN",DADRA & NAGAR HAVELI & DAMAN & DIU,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa,x38464,283.2823529411766,"DADRA & NAGAR HAVELI & DAMAN & DIU, DIU",3.74967191868E7,46434.4275423,464,DIU,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DIU",DADRA & NAGAR HAVELI & DAMAN & DIU,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bb,x38465,454.9215686274509,"DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI",4.73306908967E8,225234.792045,465,DADRA & NAGAR HAVELI,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI",DADRA & NAGAR HAVELI & DAMAN & DIU,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,x07077,1097.8980392156866,"DELHI, CENTRAL",1.03186016094E8,92366.0241155,077,CENTRAL,07,"DELHI, CENTRAL",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,x07078,8.388235294117647,"DELHI, EAST",3.05107229158E7,24536.8305966,078,EAST,07,"DELHI, EAST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,x07079,122.54901960784315,"DELHI, NEW DELHI",1.51623804295E8,80699.2507919,079,NEW DELHI,07,"DELHI, NEW DELHI",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,x07080,280.6901960784313,"DELHI, NORTH",2.82183219817E8,110611.976578,080,NORTH,07,"DELHI, NORTH",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,x07081,281.56078431372555,"DELHI, NORTH EAST",3.420590485E7,47370.0295099,081,NORTH EAST,07,"DELHI, NORTH EAST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,x07082,426.42745098039217,"DELHI, NORTH WEST",1.4903294834E8,93419.7272794,082,NORTH WEST,07,"DELHI, NORTH WEST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f,x07671,42.90588235294117,"DELHI, SHAHADRA",3.32878442432E7,33443.7966155,671,SHAHADRA,07,"DELHI, SHAHADRA",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153,x07083,81.15294117647059,"DELHI, SOUTH",1.54141201451E8,69956.04237,083,SOUTH,07,"DELHI, SOUTH",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159,x07084,546.243137254902,"DELHI, SOUTH WEST",2.74177794744E8,111613.647824,084,SOUTH WEST,07,"DELHI, SOUTH WEST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,x07085,582.3372549019608,"DELHI, WEST",1.27209041661E8,73954.3382015,085,WEST,07,"DELHI, WEST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190,x07670,461.2862745098039,"DELHI, SOUTH EAST",9.81305188068E7,59431.1073096,670,SOUTH EAST,07,"DELHI, SOUTH EAST",DELHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,x30551,319.8509803921569,"GOA, NORTH GOA",1.71198544577E9,276203.303684,551,NORTH GOA,30,"GOA, NORTH GOA",GOA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,x30552,361.3294117647059,"GOA, SOUTH GOA",1.92205072919E9,327335.009317,552,SOUTH GOA,30,"GOA, SOUTH GOA",GOA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,x24673,1577.4117647058808,"GUJARAT, MORBI",4.79128026047E9,539476.764723,673,MORBI,24,"GUJARAT, MORBI",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,x24438,24857.588235294123,"GUJARAT, AHMADABAD",6.96637370503E9,857254.094647,438,AHMADABAD,24,"GUJARAT, AHMADABAD",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,x24440,9134.317647058824,"GUJARAT, ANAND",3.05430746484E9,393046.690523,440,ANAND,24,"GUJARAT, ANAND",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,x24674,1672.2823529411762,"GUJARAT, DEVBHUMI DWARKA",4.00278444966E9,661732.98653,674,DEVBHUMI DWARKA,24,"GUJARAT, DEVBHUMI DWARKA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,x24447,2134.2313725490194,"GUJARAT, JAMNAGAR",5.69427068782E9,737428.071884,447,JAMNAGAR,24,"GUJARAT, JAMNAGAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,x24449,2211407.0196078415,"GUJARAT, KACHCHH",3.91316541637E10,2097006.99668,449,KACHCHH,24,"GUJARAT, KACHCHH",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,x24443,6506.4509803921555,"GUJARAT, BHAVNAGAR",6.51433803135E9,505012.240221,443,BHAVNAGAR,24,"GUJARAT, BHAVNAGAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,x24442,12673.925490196068,"GUJARAT, BHARUCH",4.74594303065E9,802579.901076,442,BHARUCH,24,"GUJARAT, BHARUCH",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,x24459,4360.560784313726,"GUJARAT, SURAT",4.17588823805E9,523086.278179,459,SURAT,24,"GUJARAT, SURAT",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,x24453,1650.2627450980397,"GUJARAT, NAVSARI",2.12608421516E9,327510.170205,453,NAVSARI,24,"GUJARAT, NAVSARI",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,x24462,1384.6156862745102,"GUJARAT, VALSAD",2.8467626164E9,503925.528964,462,VALSAD,24,"GUJARAT, VALSAD",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,x24672,923.8235294117648,"GUJARAT, ARAVALLI",3.03030797693E9,424917.886918,672,ARAVALLI,24,"GUJARAT, ARAVALLI",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,x24441,1847.568627450981,"GUJARAT, BANAS KANTHA",1.03490194126E10,916373.290066,441,BANAS KANTHA,24,"GUJARAT, BANAS KANTHA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,x24668,1503.149019607843,"GUJARAT, CHHOTA UDEPUR",3.3267136073E9,515414.994477,668,CHHOTA UDEPUR,24,"GUJARAT, CHHOTA UDEPUR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,x24445,724.0,"GUJARAT, DAHOD",3.503175922E9,397208.123608,445,DAHOD,24,"GUJARAT, DAHOD",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,x24444,0.0,"GUJARAT, DANGS",1.70342558823E9,267412.238721,444,DANGS,24,"GUJARAT, DANGS",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,x24675,1436.5372549019612,"GUJARAT, GIR SOMNATH",2.54958943778E9,396544.453205,675,GIR SOMNATH,24,"GUJARAT, GIR SOMNATH",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,x24448,209.5372549019608,"GUJARAT, JUNAGADH",5.92242371261E9,650849.605246,448,JUNAGADH,24,"GUJARAT, JUNAGADH",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,x24669,1961.270588235294,"GUJARAT, MAHISAGAR",2.4155162606E9,381868.168921,669,MAHISAGAR,24,"GUJARAT, MAHISAGAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,x24452,7901.443137254906,"GUJARAT, NARMADA",2.71380539493E9,404799.252931,452,NARMADA,24,"GUJARAT, NARMADA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,x24454,1415.5568627450978,"GUJARAT, PANCH MAHALS",3.15885319436E9,461032.236816,454,PANCH MAHALS,24,"GUJARAT, PANCH MAHALS",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,x24458,2528.086274509803,"GUJARAT, SABAR KANTHA",4.07923514251E9,581212.597781,458,SABAR KANTHA,24,"GUJARAT, SABAR KANTHA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161,x24641,17512.12941176471,"GUJARAT, TAPI",3.0262180342E9,582009.3879,641,TAPI,24,"GUJARAT, TAPI",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171,x24461,1786.9176470588231,"GUJARAT, VADODARA",3.93873437042E9,489551.727424,461,VADODARA,24,"GUJARAT, VADODARA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a9,x24439,1072.1058823529413,"GUJARAT, AMRELI",7.0471029774E9,726140.549982,439,AMRELI,24,"GUJARAT, AMRELI",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ab,x24456,3793.2901960784307,"GUJARAT, PORBANDAR",2.22857398705E9,407904.145113,456,PORBANDAR,24,"GUJARAT, PORBANDAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ac,x24457,520.7411764705881,"GUJARAT, RAJKOT",7.40192885642E9,957842.840526,457,RAJKOT,24,"GUJARAT, RAJKOT",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ad,x24460,12969.690196078423,"GUJARAT, SURENDRANAGAR",8.82591562161E9,980953.518864,460,SURENDRANAGAR,24,"GUJARAT, SURENDRANAGAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ae,x24676,320.4823529411765,"GUJARAT, BOTAD",2.38675736245E9,377376.50242,676,BOTAD,24,"GUJARAT, BOTAD",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001af,x24450,379.6509803921569,"GUJARAT, KHEDA",3.3107164811E9,474374.147204,450,KHEDA,24,"GUJARAT, KHEDA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b0,x24451,132.64705882352945,"GUJARAT, MAHESANA",4.24851516665E9,610891.065596,451,MAHESANA,24,"GUJARAT, MAHESANA",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b1,x24446,0.0,"GUJARAT, GANDHINAGAR",2.02199515225E9,427525.498504,446,GANDHINAGAR,24,"GUJARAT, GANDHINAGAR",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b2,x24455,3682.8666666666654,"GUJARAT, PATAN",5.56245184233E9,734808.498805,455,PATAN,24,"GUJARAT, PATAN",GUJARAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b8,x06058,3459.2117647058817,"HARYANA, AMBALA",1.4737876646E9,379482.603591,058,AMBALA,06,"HARYANA, AMBALA",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8,x06059,720.1843137254901,"HARYANA, BHIWANI",3.18662872421E9,386681.018029,059,BHIWANI,06,"HARYANA, BHIWANI",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d9,x06060,1344.4156862745097,"HARYANA, FARIDABAD",7.18856360797E8,151373.000898,060,FARIDABAD,06,"HARYANA, FARIDABAD",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db,x06061,187.12156862745098,"HARYANA, FATEHABAD",2.45347703891E9,325531.834462,061,FATEHABAD,06,"HARYANA, FATEHABAD",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4,x06062,942.443137254902,"HARYANA, GURUGRAM",1.20906804061E9,248625.676773,062,GURUGRAM,06,"HARYANA, GURUGRAM",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7,x06063,2119.7450980392155,"HARYANA, HISAR",3.95034280532E9,419949.440637,063,HISAR,06,"HARYANA, HISAR",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1,x06064,5438.709803921567,"HARYANA, JHAJJAR",1.79882369195E9,309139.08758,064,JHAJJAR,06,"HARYANA, JHAJJAR",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,x06065,2563.486274509803,"HARYANA, JIND",2.64906844014E9,405414.555191,065,JIND,06,"HARYANA, JIND",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3,x06066,15119.490196078432,"HARYANA, KAITHAL",2.20971205794E9,361977.802493,066,KAITHAL,06,"HARYANA, KAITHAL",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6,x06067,9069.152941176468,"HARYANA, KARNAL",2.40577673197E9,349782.077342,067,KARNAL,06,"HARYANA, KARNAL",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,x06068,10380.819607843136,"HARYANA, KURUKSHETRA",1.62990661971E9,263847.595194,068,KURUKSHETRA,06,"HARYANA, KURUKSHETRA",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020d,x06069,165.12156862745098,"HARYANA, MAHENDRAGARH",1.86990663048E9,396168.043484,069,MAHENDRAGARH,06,"HARYANA, MAHENDRAGARH",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211,x06604,6809.309803921568,"HARYANA, MEWAT",1.46378259141E9,337936.482813,604,MEWAT,06,"HARYANA, MEWAT",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000226,x06619,1925.8549019607847,"HARYANA, PALWAL",1.31393768452E9,236392.768346,619,PALWAL,06,"HARYANA, PALWAL",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000227,x06070,121.10980392156863,"HARYANA, PANCHKULA",8.58678376092E8,220844.253834,070,PANCHKULA,06,"HARYANA, PANCHKULA",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000228,x06071,2425.7843137254904,"HARYANA, PANIPAT",1.26380077146E9,205738.448961,071,PANIPAT,06,"HARYANA, PANIPAT",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000238,x06072,216.5647058823529,"HARYANA, REWARI",1.50153141555E9,287206.335335,072,REWARI,06,"HARYANA, REWARI",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000239,x06073,3282.219607843138,"HARYANA, ROHTAK",1.61622466517E9,245463.495732,073,ROHTAK,06,"HARYANA, ROHTAK",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000247,x06074,1773.5607843137254,"HARYANA, SIRSA",4.14787121732E9,426814.018781,074,SIRSA,06,"HARYANA, SIRSA",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024b,x06075,1498.0235294117647,"HARYANA, SONIPAT",2.11260601204E9,280154.816359,075,SONIPAT,06,"HARYANA, SONIPAT",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260,x06076,1172.0784313725485,"HARYANA, YAMUNANAGAR",1.67441430923E9,274920.562996,076,YAMUNANAGAR,06,"HARYANA, YAMUNANAGAR",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271,x06701,1396.4274509803922,"HARYANA, CHARKHI DADRI",1.33880889422E9,259526.538053,701,CHARKHI DADRI,06,"HARYANA, CHARKHI DADRI",HARYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,x02015,3912.0392156862745,"HIMACHAL PRADESH, BILASPUR",1.13984115009E9,253303.283625,015,BILASPUR,02,"HIMACHAL PRADESH, BILASPUR",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,x02016,2214.3176470588232,"HIMACHAL PRADESH, CHAMBA",6.41137470761E9,561018.426412,016,CHAMBA,02,"HIMACHAL PRADESH, CHAMBA",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,x02017,40.470588235294116,"HIMACHAL PRADESH, HAMIRPUR",1.0924555577E9,188675.941772,017,HAMIRPUR,02,"HIMACHAL PRADESH, HAMIRPUR",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,x02018,21291.80784313726,"HIMACHAL PRADESH, KANGRA",5.63380922767E9,571807.668986,018,KANGRA,02,"HIMACHAL PRADESH, KANGRA",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,x02020,864.3098039215686,"HIMACHAL PRADESH, KULLU",5.37932433397E9,422724.960723,020,KULLU,02,"HIMACHAL PRADESH, KULLU",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,x02022,98.65882352941175,"HIMACHAL PRADESH, MANDI",3.86714039841E9,335860.110422,022,MANDI,02,"HIMACHAL PRADESH, MANDI",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,x02023,547.0745098039216,"HIMACHAL PRADESH, SHIMLA",5.0070285944E9,551672.202552,023,SHIMLA,02,"HIMACHAL PRADESH, SHIMLA",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,x02024,237.4941176470588,"HIMACHAL PRADESH, SIRMAUR",2.75532603286E9,349597.166859,024,SIRMAUR,02,"HIMACHAL PRADESH, SIRMAUR",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151,x02025,21.490196078431374,"HIMACHAL PRADESH, SOLAN",1.88994239194E9,322063.135916,025,SOLAN,02,"HIMACHAL PRADESH, SOLAN",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d,x02026,3317.0,"HIMACHAL PRADESH, UNA",1.50987468054E9,248758.594242,026,UNA,02,"HIMACHAL PRADESH, UNA",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fa,x02019,2630.7254901960787,"HIMACHAL PRADESH, KINNAUR",6.36478359095E9,495434.811981,019,KINNAUR,02,"HIMACHAL PRADESH, KINNAUR",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000203,x02021,11307.807843137254,"HIMACHAL PRADESH, LAHUL & SPITI",1.3723849956E10,925110.633258,021,LAHUL & SPITI,02,"HIMACHAL PRADESH, LAHUL & SPITI",HIMACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000187,x01NA,40308.70980392156,"JAMMU & KASHMIR, MIRPUR",3.57890820759E9,438559.905538,,MIRPUR,01,"JAMMU & KASHMIR, MIRPUR",JAMMU & KASHMIR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000188,x01NA,842.0666666666666,"JAMMU & KASHMIR, MUZAFFARABAD",4.78221682989E9,594020.745396,,MUZAFFARABAD,01,"JAMMU & KASHMIR, MUZAFFARABAD",JAMMU & KASHMIR,"{""type"":""MultiPoint"",""coordinates"":[]}"
