system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
00000000000000000207,x12235,414.82745098039214,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",3.42327424454E9,406120.977157,235,LOWER DIBANG VALLEY,12,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229,x12237,15.109803921568627,"ARUNACHAL PRADESH, PAPUMPARE",3.32453241456E9,429256.816125,237,PAPUMPARE,12,"ARUNACHAL PRADESH, PAPUMPARE",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000251,x12238,434.98039215686276,"ARUNACHAL PRADESH, TAWANG",2.37167683822E9,311006.712835,238,TAWANG,12,"ARUNACHAL PRADESH, TAWANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000254,x12239,0.0,"ARUNACHAL PRADESH, TIRAP",1.13250213745E9,184942.10308,239,TIRAP,12,"ARUNACHAL PRADESH, TIRAP",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,x12240,28.16862745098039,"ARUNACHAL PRADESH, UPPER SIANG",6.48980507694E9,478881.591212,240,UPPER SIANG,12,"ARUNACHAL PRADESH, UPPER SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257,x12241,47.70196078431373,"ARUNACHAL PRADESH, UPPER SUBANSIRI",6.26808549083E9,476128.575102,241,UPPER SUBANSIRI,12,"ARUNACHAL PRADESH, UPPER SUBANSIRI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e,x12242,93.08235294117645,"ARUNACHAL PRADESH, WEST KAMENG",4.74270007647E9,378357.647605,242,WEST KAMENG,12,"ARUNACHAL PRADESH, WEST KAMENG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f,x12719,10.105882352941176,"ARUNACHAL PRADESH, LOWER SIANG",1.75126298953E9,297474.745069,719,LOWER SIANG,12,"ARUNACHAL PRADESH, LOWER SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a,x12236,39.0,"ARUNACHAL PRADESH, LOWER SUBANSIRI",1.87500831531E9,265052.783622,236,LOWER SUBANSIRI,12,"ARUNACHAL PRADESH, LOWER SUBANSIRI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000276,x12679,7.0,"ARUNACHAL PRADESH, SIANG",3.3377316381E9,381310.003195,679,SIANG,12,"ARUNACHAL PRADESH, SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000277,x12243,6.0,"ARUNACHAL PRADESH, WEST SIANG",1.28885438804E9,205653.056089,243,WEST SIANG,12,"ARUNACHAL PRADESH, WEST SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000278,x12725,11.717647058823529,"ARUNACHAL PRADESH, SHI YOMI",2.53361484859E9,234935.066859,725,SHI YOMI,12,"ARUNACHAL PRADESH, SHI YOMI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000279,x12724,2.0,"ARUNACHAL PRADESH, LEPA RADA",7.40599302215E8,136851.799851,724,LEPA RADA,12,"ARUNACHAL PRADESH, LEPA RADA",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027a,x12723,26.67843137254902,"ARUNACHAL PRADESH, PAKKE KESSANG",1.84175640384E9,292751.205061,723,PAKKE KESSANG,12,"ARUNACHAL PRADESH, PAKKE KESSANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027b,x12677,2.2980392156862743,"ARUNACHAL PRADESH, KRA DAADI",1.70082602283E9,272548.025795,677,KRA DAADI,12,"ARUNACHAL PRADESH, KRA DAADI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027c,x12678,1010.9137254901962,"ARUNACHAL PRADESH, NAMSAI",1.29567164957E9,173448.760741,678,NAMSAI,12,"ARUNACHAL PRADESH, NAMSAI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d,x12718,9.329411764705885,"ARUNACHAL PRADESH, KAMLE",1.33150716319E9,226425.94142,718,KAMLE,12,"ARUNACHAL PRADESH, KAMLE",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294,x12232,11861.270588235297,"ARUNACHAL PRADESH, EAST SIANG",1.62340062502E9,212629.714858,232,EAST SIANG,12,"ARUNACHAL PRADESH, EAST SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295,x12666,1.0,"ARUNACHAL PRADESH, LONGDING",9.02244317477E8,171487.612598,666,LONGDING,12,"ARUNACHAL PRADESH, LONGDING",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bc,x18616,13779.486274509802,"ASSAM, BAKSA",2.57562432821E9,511427.737459,616,BAKSA,18,"ASSAM, BAKSA",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bd,x18280,510661.21960784297,"ASSAM, BARPETA",2.14179215347E9,415011.197683,280,BARPETA,18,"ASSAM, BARPETA",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002be,x18705,241819.93725490177,"ASSAM, BISWANATH",1.72065075774E9,226550.26312,705,BISWANATH,18,"ASSAM, BISWANATH",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
