"GeoName","GeoID","state","zone","n","cellpred_n","pred_prop","pred_per","national_per","pred_per_diff"
"Jammu & Kashmir, Kupwara","01001","Jammu & Kashmir","Northern",435690,252922.682288017,0.580510643549352,58.0510643549352,34.1184026898985,23.9326616650366
"Jammu & Kashmir, Badgam","01002","Jammu & Kashmir","Northern",397371,156936.467676894,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Punch","01005","Jammu & Kashmir","Northern",268157,125795.718834906,0.46911219485192,46.911219485192,34.1184026898985,12.7928167952934
"Jammu & Kashmir, Rajauri","01006","Jammu & Kashmir","Northern",374106,147748.260886507,0.394936891914342,39.4936891914342,34.1184026898985,5.37528650153569
"Jammu & Kashmir, Kathua","01007","Jammu & Kashmir","Northern",390967,154407.291821075,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Baramula","01008","Jammu & Kashmir","Northern",592051,233822.781794778,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Bandipura","01009","Jammu & Kashmir","Northern",225664,89123.0387769582,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Srinagar","01010","Jammu & Kashmir","Northern",831919,334563.596022568,0.402158859242988,40.2158859242989,34.1184026898985,6.09748323440031
"Jammu & Kashmir, Ganderbal","01011","Jammu & Kashmir","Northern",167646,66209.5901818719,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Pulwama","01012","Jammu & Kashmir","Northern",342744,135362.250082289,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Shupiyan","01013","Jammu & Kashmir","Northern",156035,61623.9779298544,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Anantnag","01014","Jammu & Kashmir","Northern",588704,299230.577723626,0.508286979065245,50.8286979065245,34.1184026898985,16.7102952166259
"Jammu & Kashmir, Kulgam","01015","Jammu & Kashmir","Northern",249391,98493.7064114098,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Doda","01016","Jammu & Kashmir","Northern",234398,92572.417590938,0.394936891914342,39.4936891914342,34.1184026898985,5.3752865015357
"Jammu & Kashmir, Ramban","01017","Jammu & Kashmir","Northern",153216,67391.7191060972,0.439847790740505,43.9847790740505,34.1184026898985,9.86637638415195
"Jammu & Kashmir, Kishtwar","01018","Jammu & Kashmir","Northern",131570,25348.6869084654,0.192663121596605,19.2663121596605,34.1184026898985,-14.852090530238
"Jammu & Kashmir, Udhampur","01019","Jammu & Kashmir","Northern",340398,149723.308272486,0.439847790740505,43.9847790740505,34.1184026898985,9.86637638415197
"Jammu & Kashmir, Riasi","01020","Jammu & Kashmir","Northern",177954,74742.0289026035,0.420007580063407,42.0007580063407,34.1184026898985,7.88235531644216
"Jammu & Kashmir, Jammu","01021","Jammu & Kashmir","Northern",1060773,419804.455736382,0.395753338118883,39.5753338118883,34.1184026898985,5.45693112198977
"Jammu & Kashmir, Samba","01022","Jammu & Kashmir","Northern",212894,84253.5111654815,0.395753338118883,39.5753338118883,34.1184026898985,5.45693112198976
"Himachal Pradesh, Chamba","02023","Himachal Pradesh","Northern",327857,53185.9459509842,0.162222999511934,16.2222999511934,34.1184026898985,-17.8961027387051
"Himachal Pradesh, Kangra","02024","Himachal Pradesh","Northern",1048544,260191.052521647,0.248145096935986,24.8145096935986,34.1184026898985,-9.30389299629992
"Himachal Pradesh, Lahul & Spiti","02025","Himachal Pradesh","Northern",22416,5560.31631078847,0.248051227283568,24.8051227283568,34.1184026898985,-9.31327996154171
