system:index,GEOID,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,sum,.geo
00000000000000000207,x12235,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",3.42327424454E9,406120.977157,235,LOWER DIBANG VALLEY,12,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",ARUNACHAL PRADESH,7987328.933333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229,x12237,"ARUNACHAL PRADESH, PAPUMPARE",3.32453241456E9,429256.816125,237,PAPUMPARE,12,"ARUNACHAL PRADESH, PAPUMPARE",ARUNACHAL PRADESH,1501629.7098039223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000251,x12238,"ARUNACHAL PRADESH, TAWANG",2.37167683822E9,311006.712835,238,TAWANG,12,"ARUNACHAL PRADESH, TAWANG",ARUNACHAL PRADESH,3547989.211764708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000254,x12239,"ARUNACHAL PRADESH, TIRAP",1.13250213745E9,184942.10308,239,TIRAP,12,"ARUNACHAL PRADESH, TIRAP",ARUNACHAL PRADESH,374527.6470588235,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,x12240,"ARUNACHAL PRADESH, UPPER SIANG",6.48980507694E9,478881.591212,240,UPPER SIANG,12,"ARUNACHAL PRADESH, UPPER SIANG",ARUNACHAL PRADESH,3.868960109333331E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257,x12241,"ARUNACHAL PRADESH, UPPER SUBANSIRI",6.26808549083E9,476128.575102,241,UPPER SUBANSIRI,12,"ARUNACHAL PRADESH, UPPER SUBANSIRI",ARUNACHAL PRADESH,2.658873223137254E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e,x12242,"ARUNACHAL PRADESH, WEST KAMENG",4.74270007647E9,378357.647605,242,WEST KAMENG,12,"ARUNACHAL PRADESH, WEST KAMENG",ARUNACHAL PRADESH,4621369.560784316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f,x12719,"ARUNACHAL PRADESH, LOWER SIANG",1.75126298953E9,297474.745069,719,LOWER SIANG,12,"ARUNACHAL PRADESH, LOWER SIANG",ARUNACHAL PRADESH,3750373.6392156864,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a,x12236,"ARUNACHAL PRADESH, LOWER SUBANSIRI",1.87500831531E9,265052.783622,236,LOWER SUBANSIRI,12,"ARUNACHAL PRADESH, LOWER SUBANSIRI",ARUNACHAL PRADESH,1548687.7019607846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000276,x12679,"ARUNACHAL PRADESH, SIANG",3.3377316381E9,381310.003195,679,SIANG,12,"ARUNACHAL PRADESH, SIANG",ARUNACHAL PRADESH,1.865045069764706E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000277,x12243,"ARUNACHAL PRADESH, WEST SIANG",1.28885438804E9,205653.056089,243,WEST SIANG,12,"ARUNACHAL PRADESH, WEST SIANG",ARUNACHAL PRADESH,1084491.1921568625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000278,x12725,"ARUNACHAL PRADESH, SHI YOMI",2.53361484859E9,234935.066859,725,SHI YOMI,12,"ARUNACHAL PRADESH, SHI YOMI",ARUNACHAL PRADESH,1658856.5607843143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000279,x12724,"ARUNACHAL PRADESH, LEPA RADA",7.40599302215E8,136851.799851,724,LEPA RADA,12,"ARUNACHAL PRADESH, LEPA RADA",ARUNACHAL PRADESH,201148.8588235295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027a,x12723,"ARUNACHAL PRADESH, PAKKE KESSANG",1.84175640384E9,292751.205061,723,PAKKE KESSANG,12,"ARUNACHAL PRADESH, PAKKE KESSANG",ARUNACHAL PRADESH,2619175.396078433,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027b,x12677,"ARUNACHAL PRADESH, KRA DAADI",1.70082602283E9,272548.025795,677,KRA DAADI,12,"ARUNACHAL PRADESH, KRA DAADI",ARUNACHAL PRADESH,1926413.5137254915,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027c,x12678,"ARUNACHAL PRADESH, NAMSAI",1.29567164957E9,173448.760741,678,NAMSAI,12,"ARUNACHAL PRADESH, NAMSAI",ARUNACHAL PRADESH,6167359.737254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d,x12718,"ARUNACHAL PRADESH, KAMLE",1.33150716319E9,226425.94142,718,KAMLE,12,"ARUNACHAL PRADESH, KAMLE",ARUNACHAL PRADESH,1.0634905964705903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294,x12232,"ARUNACHAL PRADESH, EAST SIANG",1.62340062502E9,212629.714858,232,EAST SIANG,12,"ARUNACHAL PRADESH, EAST SIANG",ARUNACHAL PRADESH,1.4447127721960783E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295,x12666,"ARUNACHAL PRADESH, LONGDING",9.02244317477E8,171487.612598,666,LONGDING,12,"ARUNACHAL PRADESH, LONGDING",ARUNACHAL PRADESH,297237.3058823531,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bc,x18616,"ASSAM, BAKSA",2.57562432821E9,511427.737459,616,BAKSA,18,"ASSAM, BAKSA",ASSAM,6553970.847058816,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bd,x18280,"ASSAM, BARPETA",2.14179215347E9,415011.197683,280,BARPETA,18,"ASSAM, BARPETA",ASSAM,3.3072464929411757E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002be,x18705,"ASSAM, BISWANATH",1.72065075774E9,226550.26312,705,BISWANATH,18,"ASSAM, BISWANATH",ASSAM,2.257076513176471E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bf,x18281,"ASSAM, BONGAIGAON",9.38074332777E8,278101.508465,281,BONGAIGAON,18,"ASSAM, BONGAIGAON",ASSAM,1.0275840438431372E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0,x18282,"ASSAM, CACHAR",3.63866662669E9,433439.258272,282,CACHAR,18,"ASSAM, CACHAR",ASSAM,2.694822070588237E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c1,x18708,"ASSAM, CHARAIDEO",1.03607451295E9,224632.571325,708,CHARAIDEO,18,"ASSAM, CHARAIDEO",ASSAM,1130288.2000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c2,x18612,"ASSAM, CHIRANG",1.96299624816E9,310549.778464,612,CHIRANG,18,"ASSAM, CHIRANG",ASSAM,5180157.419607847,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3,x18283,"ASSAM, DARRANG",1.30952255697E9,331697.061676,283,DARRANG,18,"ASSAM, DARRANG",ASSAM,2.3867191304313728E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c4,x18284,"ASSAM, DHEMAJI",2.38101711525E9,401430.529966,284,DHEMAJI,18,"ASSAM, DHEMAJI",ASSAM,1.005086665960784E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c5,x18285,"ASSAM, DHUBRI",1.51411132826E9,484020.123035,285,DHUBRI,18,"ASSAM, DHUBRI",ASSAM,1.4479485543529412E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c6,x18286,"ASSAM, DIBRUGARH",3.27583302017E9,441649.091418,286,DIBRUGARH,18,"ASSAM, DIBRUGARH",ASSAM,3.392360546980394E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c7,x18299,"ASSAM, DIMA HASAO",4.6982305441E9,499690.772337,299,DIMA HASAO,18,"ASSAM, DIMA HASAO",ASSAM,3986104.4313725485,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c8,x18287,"ASSAM, GOALPARA",1.8470116062E9,330027.809523,287,GOALPARA,18,"ASSAM, GOALPARA",ASSAM,1.9740393442745134E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9,x18288,"ASSAM, GOLAGHAT",3.38909912073E9,611752.908683,288,GOLAGHAT,18,"ASSAM, GOLAGHAT",ASSAM,1.4456021794117668E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca,x18289,"ASSAM, HAILAKANDI",1.27817157175E9,262606.792407,289,HAILAKANDI,18,"ASSAM, HAILAKANDI",ASSAM,4666588.470588239,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cb,x18709,"ASSAM, HOJAI",1.40107975405E9,252272.500632,709,HOJAI,18,"ASSAM, HOJAI",ASSAM,3977746.5921568647,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cc,x18290,"ASSAM, JORHAT",1.97628624187E9,348007.022778,290,JORHAT,18,"ASSAM, JORHAT",ASSAM,1162854.7058823514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cd,x18618,"ASSAM, KAMRUP METRO",9.24998183289E8,217860.150882,618,KAMRUP METRO,18,"ASSAM, KAMRUP METRO",ASSAM,5.200245958823527E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ce,x18291,"ASSAM, KAMRUP RURAL",3.00207395767E9,533767.454399,291,KAMRUP RURAL,18,"ASSAM, KAMRUP RURAL",ASSAM,1.4479561369803885E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cf,x18292,"ASSAM, KARBI ANGLONG",7.05276147084E9,793115.495346,292,KARBI ANGLONG,18,"ASSAM, KARBI ANGLONG",ASSAM,3384741.419607843,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0,x18293,"ASSAM, KARIMGANJ",1.7436127772E9,253526.555935,293,KARIMGANJ,18,"ASSAM, KARIMGANJ",ASSAM,4758149.819607843,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1,x18294,"ASSAM, KOKRAJHAR",3.005469475E9,370102.899458,294,KOKRAJHAR,18,"ASSAM, KOKRAJHAR",ASSAM,4417108.286274511,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2,x18295,"ASSAM, LAKHIMPUR",2.88880662655E9,372367.885033,295,LAKHIMPUR,18,"ASSAM, LAKHIMPUR",ASSAM,5.331954904705873E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3,x18706,"ASSAM, MAJULI",7.60410814687E8,187633.777041,706,MAJULI,18,"ASSAM, MAJULI",ASSAM,3.5708774218431354E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4,x18296,"ASSAM, MARIGAON",1.48359965487E9,225512.751862,296,MARIGAON,18,"ASSAM, MARIGAON",ASSAM,8.645908233333334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5,x18297,"ASSAM, NAGAON",2.48215956962E9,595983.805401,297,NAGAON,18,"ASSAM, NAGAON",ASSAM,4.453993048235289E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6,x18298,"ASSAM, NALBARI",1.02089707731E9,235768.401907,298,NALBARI,18,"ASSAM, NALBARI",ASSAM,9.286783200392161E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7,x18300,"ASSAM, SIBSAGAR",1.51217958901E9,266939.348078,300,SIBSAGAR,18,"ASSAM, SIBSAGAR",ASSAM,4747323.945098039,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8,x18301,"ASSAM, SONITPUR",3.31873600952E9,302021.098402,301,SONITPUR,18,"ASSAM, SONITPUR",ASSAM,3.194984635333334E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9,x18707,"ASSAM, SOUTH SALMARA MANCACHAR",6.57868873699E8,234231.827116,707,SOUTH SALMARA MANCACHAR,18,"ASSAM, SOUTH SALMARA MANCACHAR",ASSAM,1.1969544957254894E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da,x18302,"ASSAM, TINSUKIA",3.67717193098E9,419712.54077,302,TINSUKIA,18,"ASSAM, TINSUKIA",ASSAM,2.3229325407843117E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db,x18617,"ASSAM, UDALGURI",1.97722753925E9,363765.338478,617,UDALGURI,18,"ASSAM, UDALGURI",ASSAM,1211962.262745099,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc,x18710,"ASSAM, WEST KARBI ANGLONG",2.95733983967E9,430785.104037,710,WEST KARBI ANGLONG,18,"ASSAM, WEST KARBI ANGLONG",ASSAM,4492082.031372553,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bb,x10188,"BIHAR, ARARIA",2.68677216996E9,397908.321198,188,ARARIA,10,"BIHAR, ARARIA",BIHAR,2237551.4627450975,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bc,x10611,"BIHAR, ARWAL",6.1347720387E8,189576.967619,611,ARWAL,10,"BIHAR, ARWAL",BIHAR,1.1863827917647053E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bd,x10189,"BIHAR, AURANGABAD",3.17929817538E9,373783.576346,189,AURANGABAD,10,"BIHAR, AURANGABAD",BIHAR,2.412330496078432E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bf,x10190,"BIHAR, BANKA",2.90964784579E9,343662.222087,190,BANKA,10,"BIHAR, BANKA",BIHAR,1328979.4549019602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4,x10191,"BIHAR, BEGUSARAI",1.8501117125E9,364147.274207,191,BEGUSARAI,10,"BIHAR, BEGUSARAI",BIHAR,4.0911094066274494E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5,x10200,"BIHAR, KAIMUR",3.24066236819E9,384239.495375,200,KAIMUR,10,"BIHAR, KAIMUR",BIHAR,3747081.1999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6,x10192,"BIHAR, BHAGALPUR",2.45921352255E9,385555.727837,192,BHAGALPUR,10,"BIHAR, BHAGALPUR",BIHAR,6.562908135803916E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c9,x10193,"BIHAR, BHOJPUR",2.29913805222E9,288088.090219,193,BHOJPUR,10,"BIHAR, BHOJPUR",BIHAR,1.152448117568627E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cd,x10194,"BIHAR, BUXAR",1.63623572435E9,287685.791899,194,BUXAR,10,"BIHAR, BUXAR",BIHAR,1.8347812984313738E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
