system:index,GEOID,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,sum,.geo
00000000000000000027,x22646,"CHHATTISGARH, BALOD",3.24954077194E9,415028.307589,646,BALOD,22,"CHHATTISGARH, BALOD",CHHATTISGARH,1395470.8784313719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,x22644,"CHHATTISGARH, BALODA BAZAR",4.49546828535E9,485313.897069,644,BALODA BAZAR,22,"CHHATTISGARH, BALODA BAZAR",CHHATTISGARH,3.918694358039212E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,x22649,"CHHATTISGARH, BALRAMPUR",6.02907827035E9,652255.344408,649,BALRAMPUR,22,"CHHATTISGARH, BALRAMPUR",CHHATTISGARH,4141671.60392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,x22374,"CHHATTISGARH, BASTAR",5.22870039879E9,569531.125976,374,BASTAR,22,"CHHATTISGARH, BASTAR",CHHATTISGARH,1.3685221831372552E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,x22650,"CHHATTISGARH, BEMETARA",2.15542565804E9,379763.712487,650,BEMETARA,22,"CHHATTISGARH, BEMETARA",CHHATTISGARH,9776923.827450985,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,x22636,"CHHATTISGARH, BIJAPUR",8.96248368311E9,717764.340336,636,BIJAPUR,22,"CHHATTISGARH, BIJAPUR",CHHATTISGARH,6.778535731764692E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,x22375,"CHHATTISGARH, BILASPUR",3.41074793882E9,447081.507856,375,BILASPUR,22,"CHHATTISGARH, BILASPUR",CHHATTISGARH,1.2523296650980396E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,x22734,"CHHATTISGARH, GAURELA-PENDRA-MARWAHI",1.91821880612E9,269819.936493,734,GAURELA-PENDRA-MARWAHI,22,"CHHATTISGARH, GAURELA-PENDRA-MARWAHI",CHHATTISGARH,339606.13725490175,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,x22376,"CHHATTISGARH, DAKSHIN BASTAR DANTEWADA",2.73346171007E9,460460.217934,376,DAKSHIN BASTAR DANTEWADA,22,"CHHATTISGARH, DAKSHIN BASTAR DANTEWADA",CHHATTISGARH,5897190.368627445,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,x22377,"CHHATTISGARH, DHAMTARI",3.94316756126E9,432007.387399,377,DHAMTARI,22,"CHHATTISGARH, DHAMTARI",CHHATTISGARH,4668391.752941187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,x22378,"CHHATTISGARH, DURG",2.2141126565E9,341679.975518,378,DURG,22,"CHHATTISGARH, DURG",CHHATTISGARH,6101860.45882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,x22645,"CHHATTISGARH, GARIYABAND",4.67547642045E9,512147.53487,645,GARIYABAND,22,"CHHATTISGARH, GARIYABAND",CHHATTISGARH,3280790.8941176487,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,x22379,"CHHATTISGARH, JANJGIR - CHAMPA",4.32184860473E9,555226.652558,379,JANJGIR - CHAMPA,22,"CHHATTISGARH, JANJGIR - CHAMPA",CHHATTISGARH,3.433279622352939E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,x22380,"CHHATTISGARH, JASHPUR",5.6276599563E9,501891.723783,380,JASHPUR,22,"CHHATTISGARH, JASHPUR",CHHATTISGARH,3479677.560784315,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,x22382,"CHHATTISGARH, KABIRDHAM",4.03790547631E9,434302.991254,382,KABIRDHAM,22,"CHHATTISGARH, KABIRDHAM",CHHATTISGARH,1144470.4274509798,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,x22381,"CHHATTISGARH, UTTAR BASTAR KANKER",6.94450641657E9,645466.929563,381,UTTAR BASTAR KANKER,22,"CHHATTISGARH, UTTAR BASTAR KANKER",CHHATTISGARH,5905909.44705883,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,x22643,"CHHATTISGARH, KONDAGAON",4.90872015587E9,478627.416097,643,KONDAGAON,22,"CHHATTISGARH, KONDAGAON",CHHATTISGARH,3977301.2784313704,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,x22383,"CHHATTISGARH, KORBA",6.34759518058E9,484704.9238,383,KORBA,22,"CHHATTISGARH, KORBA",CHHATTISGARH,1.0311220627450984E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,x22384,"CHHATTISGARH, KOREA",6.3488566862E9,540618.790013,384,KOREA,22,"CHHATTISGARH, KOREA",CHHATTISGARH,2517254.141176471,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,x22385,"CHHATTISGARH, MAHASAMUND",4.57957772743E9,522464.375447,385,MAHASAMUND,22,"CHHATTISGARH, MAHASAMUND",CHHATTISGARH,2961353.352941177,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,x22647,"CHHATTISGARH, MUNGELI",2.67235299736E9,435239.289606,647,MUNGELI,22,"CHHATTISGARH, MUNGELI",CHHATTISGARH,2844669.082352941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,x22637,"CHHATTISGARH, NARAINPUR",3.77233235934E9,437577.549867,637,NARAINPUR,22,"CHHATTISGARH, NARAINPUR",CHHATTISGARH,1666131.3490196087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123,x22386,"CHHATTISGARH, RAIGARH",6.78167987332E9,713130.615899,386,RAIGARH,22,"CHHATTISGARH, RAIGARH",CHHATTISGARH,3.4042972572548985E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124,x22387,"CHHATTISGARH, RAIPUR",2.79875529906E9,291574.899423,387,RAIPUR,22,"CHHATTISGARH, RAIPUR",CHHATTISGARH,6681403.3058823515,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126,x22388,"CHHATTISGARH, RAJ NANDGAON",7.78016435847E9,766223.946513,388,RAJ NANDGAON,22,"CHHATTISGARH, RAJ NANDGAON",CHHATTISGARH,3551877.772549014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,x22642,"CHHATTISGARH, SUKMA",5.31945668429E9,629317.531683,642,SUKMA,22,"CHHATTISGARH, SUKMA",CHHATTISGARH,9391940.964705892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,x22648,"CHHATTISGARH, SURAJPUR",5.24540163562E9,585291.43373,648,SURAJPUR,22,"CHHATTISGARH, SURAJPUR",CHHATTISGARH,1.060560293725491E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,x22389,"CHHATTISGARH, SURGUJA",3.85266285228E9,441465.848585,389,SURGUJA,22,"CHHATTISGARH, SURGUJA",CHHATTISGARH,1149896.4509803918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,x38463,"DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN",6.89694413302E7,49913.1493444,463,DAMAN,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN",DADRA & NAGAR HAVELI & DAMAN & DIU,202333.93725490192,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa,x38464,"DADRA & NAGAR HAVELI & DAMAN & DIU, DIU",3.74967191868E7,46434.4275423,464,DIU,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DIU",DADRA & NAGAR HAVELI & DAMAN & DIU,1256.0666666666655,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bb,x38465,"DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI",4.73306908967E8,225234.792045,465,DADRA & NAGAR HAVELI,38,"DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI",DADRA & NAGAR HAVELI & DAMAN & DIU,466685.6549019604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,x07077,"DELHI, CENTRAL",1.03186016094E8,92366.0241155,077,CENTRAL,07,"DELHI, CENTRAL",DELHI,8322654.980392156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,x07078,"DELHI, EAST",3.05107229158E7,24536.8305966,078,EAST,07,"DELHI, EAST",DELHI,1347.3607843137252,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,x07079,"DELHI, NEW DELHI",1.51623804295E8,80699.2507919,079,NEW DELHI,07,"DELHI, NEW DELHI",DELHI,99163.06666666658,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,x07080,"DELHI, NORTH",2.82183219817E8,110611.976578,080,NORTH,07,"DELHI, NORTH",DELHI,1217021.6156862748,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,x07081,"DELHI, NORTH EAST",3.420590485E7,47370.0295099,081,NORTH EAST,07,"DELHI, NORTH EAST",DELHI,1435961.5686274513,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,x07082,"DELHI, NORTH WEST",1.4903294834E8,93419.7272794,082,NORTH WEST,07,"DELHI, NORTH WEST",DELHI,387033.7058823529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f,x07671,"DELHI, SHAHADRA",3.32878442432E7,33443.7966155,671,SHAHADRA,07,"DELHI, SHAHADRA",DELHI,132499.96470588245,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153,x07083,"DELHI, SOUTH",1.54141201451E8,69956.04237,083,SOUTH,07,"DELHI, SOUTH",DELHI,10270.46666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159,x07084,"DELHI, SOUTH WEST",2.74177794744E8,111613.647824,084,SOUTH WEST,07,"DELHI, SOUTH WEST",DELHI,3010627.7294117645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,x07085,"DELHI, WEST",1.27209041661E8,73954.3382015,085,WEST,07,"DELHI, WEST",DELHI,3399661.6352941194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190,x07670,"DELHI, SOUTH EAST",9.81305188068E7,59431.1073096,670,SOUTH EAST,07,"DELHI, SOUTH EAST",DELHI,2330790.5607843134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,x30551,"GOA, NORTH GOA",1.71198544577E9,276203.303684,551,NORTH GOA,30,"GOA, NORTH GOA",GOA,1188121.8196078427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,x30552,"GOA, SOUTH GOA",1.92205072919E9,327335.009317,552,SOUTH GOA,30,"GOA, SOUTH GOA",GOA,407269.4117647056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,x24673,"GUJARAT, MORBI",4.79128026047E9,539476.764723,673,MORBI,24,"GUJARAT, MORBI",GUJARAT,3440886.8470588257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,x24438,"GUJARAT, AHMADABAD",6.96637370503E9,857254.094647,438,AHMADABAD,24,"GUJARAT, AHMADABAD",GUJARAT,1.7493273952941198E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,x24440,"GUJARAT, ANAND",3.05430746484E9,393046.690523,440,ANAND,24,"GUJARAT, ANAND",GUJARAT,1.8147873121568635E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,x24674,"GUJARAT, DEVBHUMI DWARKA",4.00278444966E9,661732.98653,674,DEVBHUMI DWARKA,24,"GUJARAT, DEVBHUMI DWARKA",GUJARAT,801563.7137254894,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,x24447,"GUJARAT, JAMNAGAR",5.69427068782E9,737428.071884,447,JAMNAGAR,24,"GUJARAT, JAMNAGAR",GUJARAT,2267447.768627445,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,x24449,"GUJARAT, KACHCHH",3.91316541637E10,2097006.99668,449,KACHCHH,24,"GUJARAT, KACHCHH",GUJARAT,4.9600449789019525E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,x24443,"GUJARAT, BHAVNAGAR",6.51433803135E9,505012.240221,443,BHAVNAGAR,24,"GUJARAT, BHAVNAGAR",GUJARAT,6327914.180392161,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,x24442,"GUJARAT, BHARUCH",4.74594303065E9,802579.901076,442,BHARUCH,24,"GUJARAT, BHARUCH",GUJARAT,5.133832483529416E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,x24459,"GUJARAT, SURAT",4.17588823805E9,523086.278179,459,SURAT,24,"GUJARAT, SURAT",GUJARAT,6.558315680000004E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,x24453,"GUJARAT, NAVSARI",2.12608421516E9,327510.170205,453,NAVSARI,24,"GUJARAT, NAVSARI",GUJARAT,2104544.945098039,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,x24462,"GUJARAT, VALSAD",2.8467626164E9,503925.528964,462,VALSAD,24,"GUJARAT, VALSAD",GUJARAT,2526887.698039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,x24672,"GUJARAT, ARAVALLI",3.03030797693E9,424917.886918,672,ARAVALLI,24,"GUJARAT, ARAVALLI",GUJARAT,2110587.5254901955,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,x24441,"GUJARAT, BANAS KANTHA",1.03490194126E10,916373.290066,441,BANAS KANTHA,24,"GUJARAT, BANAS KANTHA",GUJARAT,9870711.282352932,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,x24668,"GUJARAT, CHHOTA UDEPUR",3.3267136073E9,515414.994477,668,CHHOTA UDEPUR,24,"GUJARAT, CHHOTA UDEPUR",GUJARAT,2.1078331764705874E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,x24445,"GUJARAT, DAHOD",3.503175922E9,397208.123608,445,DAHOD,24,"GUJARAT, DAHOD",GUJARAT,1317289.039215686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,x24444,"GUJARAT, DANGS",1.70342558823E9,267412.238721,444,DANGS,24,"GUJARAT, DANGS",GUJARAT,657030.8901960786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,x24675,"GUJARAT, GIR SOMNATH",2.54958943778E9,396544.453205,675,GIR SOMNATH,24,"GUJARAT, GIR SOMNATH",GUJARAT,933149.0549019597,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,x24448,"GUJARAT, JUNAGADH",5.92242371261E9,650849.605246,448,JUNAGADH,24,"GUJARAT, JUNAGADH",GUJARAT,3430408.352941178,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,x24669,"GUJARAT, MAHISAGAR",2.4155162606E9,381868.168921,669,MAHISAGAR,24,"GUJARAT, MAHISAGAR",GUJARAT,2.4410478756862745E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,x24452,"GUJARAT, NARMADA",2.71380539493E9,404799.252931,452,NARMADA,24,"GUJARAT, NARMADA",GUJARAT,6.341050493725488E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,x24454,"GUJARAT, PANCH MAHALS",3.15885319436E9,461032.236816,454,PANCH MAHALS,24,"GUJARAT, PANCH MAHALS",GUJARAT,6081932.643137254,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,x24458,"GUJARAT, SABAR KANTHA",4.07923514251E9,581212.597781,458,SABAR KANTHA,24,"GUJARAT, SABAR KANTHA",GUJARAT,6704464.913725491,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161,x24641,"GUJARAT, TAPI",3.0262180342E9,582009.3879,641,TAPI,24,"GUJARAT, TAPI",GUJARAT,7.016964707843137E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171,x24461,"GUJARAT, VADODARA",3.93873437042E9,489551.727424,461,VADODARA,24,"GUJARAT, VADODARA",GUJARAT,5.2660936968627445E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a9,x24439,"GUJARAT, AMRELI",7.0471029774E9,726140.549982,439,AMRELI,24,"GUJARAT, AMRELI",GUJARAT,2605025.894117645,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ab,x24456,"GUJARAT, PORBANDAR",2.22857398705E9,407904.145113,456,PORBANDAR,24,"GUJARAT, PORBANDAR",GUJARAT,4203261.333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ac,x24457,"GUJARAT, RAJKOT",7.40192885642E9,957842.840526,457,RAJKOT,24,"GUJARAT, RAJKOT",GUJARAT,5885656.92941176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ad,x24460,"GUJARAT, SURENDRANAGAR",8.82591562161E9,980953.518864,460,SURENDRANAGAR,24,"GUJARAT, SURENDRANAGAR",GUJARAT,4985688.254901961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ae,x24676,"GUJARAT, BOTAD",2.38675736245E9,377376.50242,676,BOTAD,24,"GUJARAT, BOTAD",GUJARAT,1092348.1176470593,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001af,x24450,"GUJARAT, KHEDA",3.3107164811E9,474374.147204,450,KHEDA,24,"GUJARAT, KHEDA",GUJARAT,1.6402033219607837E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b0,x24451,"GUJARAT, MAHESANA",4.24851516665E9,610891.065596,451,MAHESANA,24,"GUJARAT, MAHESANA",GUJARAT,3633582.8274509846,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b1,x24446,"GUJARAT, GANDHINAGAR",2.02199515225E9,427525.498504,446,GANDHINAGAR,24,"GUJARAT, GANDHINAGAR",GUJARAT,6013421.988235299,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b2,x24455,"GUJARAT, PATAN",5.56245184233E9,734808.498805,455,PATAN,24,"GUJARAT, PATAN",GUJARAT,9452476.98823529,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b8,x06058,"HARYANA, AMBALA",1.4737876646E9,379482.603591,058,AMBALA,06,"HARYANA, AMBALA",HARYANA,890858.9803921563,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8,x06059,"HARYANA, BHIWANI",3.18662872421E9,386681.018029,059,BHIWANI,06,"HARYANA, BHIWANI",HARYANA,4117758.858823526,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d9,x06060,"HARYANA, FARIDABAD",7.18856360797E8,151373.000898,060,FARIDABAD,06,"HARYANA, FARIDABAD",HARYANA,1.700912776470588E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db,x06061,"HARYANA, FATEHABAD",2.45347703891E9,325531.834462,061,FATEHABAD,06,"HARYANA, FATEHABAD",HARYANA,8160941.917647069,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4,x06062,"HARYANA, GURUGRAM",1.20906804061E9,248625.676773,062,GURUGRAM,06,"HARYANA, GURUGRAM",HARYANA,3217579.2470588246,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7,x06063,"HARYANA, HISAR",3.95034280532E9,419949.440637,063,HISAR,06,"HARYANA, HISAR",HARYANA,1.148065952549019E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1,x06064,"HARYANA, JHAJJAR",1.79882369195E9,309139.08758,064,JHAJJAR,06,"HARYANA, JHAJJAR",HARYANA,7011053.007843139,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,x06065,"HARYANA, JIND",2.64906844014E9,405414.555191,065,JIND,06,"HARYANA, JIND",HARYANA,2282071.54509804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3,x06066,"HARYANA, KAITHAL",2.20971205794E9,361977.802493,066,KAITHAL,06,"HARYANA, KAITHAL",HARYANA,2788392.4156862753,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6,x06067,"HARYANA, KARNAL",2.40577673197E9,349782.077342,067,KARNAL,06,"HARYANA, KARNAL",HARYANA,6633379.905882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,x06068,"HARYANA, KURUKSHETRA",1.62990661971E9,263847.595194,068,KURUKSHETRA,06,"HARYANA, KURUKSHETRA",HARYANA,1482992.0941176491,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020d,x06069,"HARYANA, MAHENDRAGARH",1.86990663048E9,396168.043484,069,MAHENDRAGARH,06,"HARYANA, MAHENDRAGARH",HARYANA,1368402.5333333348,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211,x06604,"HARYANA, MEWAT",1.46378259141E9,337936.482813,604,MEWAT,06,"HARYANA, MEWAT",HARYANA,1468384.450980391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000226,x06619,"HARYANA, PALWAL",1.31393768452E9,236392.768346,619,PALWAL,06,"HARYANA, PALWAL",HARYANA,1.268204590196078E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000227,x06070,"HARYANA, PANCHKULA",8.58678376092E8,220844.253834,070,PANCHKULA,06,"HARYANA, PANCHKULA",HARYANA,223531.24313725505,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000228,x06071,"HARYANA, PANIPAT",1.26380077146E9,205738.448961,071,PANIPAT,06,"HARYANA, PANIPAT",HARYANA,4442946.431372554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000238,x06072,"HARYANA, REWARI",1.50153141555E9,287206.335335,072,REWARI,06,"HARYANA, REWARI",HARYANA,1933657.760784314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000239,x06073,"HARYANA, ROHTAK",1.61622466517E9,245463.495732,073,ROHTAK,06,"HARYANA, ROHTAK",HARYANA,1257553.1215686277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000247,x06074,"HARYANA, SIRSA",4.14787121732E9,426814.018781,074,SIRSA,06,"HARYANA, SIRSA",HARYANA,1.6529441615686264E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024b,x06075,"HARYANA, SONIPAT",2.11260601204E9,280154.816359,075,SONIPAT,06,"HARYANA, SONIPAT",HARYANA,4407543.862745097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260,x06076,"HARYANA, YAMUNANAGAR",1.67441430923E9,274920.562996,076,YAMUNANAGAR,06,"HARYANA, YAMUNANAGAR",HARYANA,4348915.796078433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271,x06701,"HARYANA, CHARKHI DADRI",1.33880889422E9,259526.538053,701,CHARKHI DADRI,06,"HARYANA, CHARKHI DADRI",HARYANA,1418196.0352941183,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,x02015,"HIMACHAL PRADESH, BILASPUR",1.13984115009E9,253303.283625,015,BILASPUR,02,"HIMACHAL PRADESH, BILASPUR",HIMACHAL PRADESH,4.1735699227451056E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,x02016,"HIMACHAL PRADESH, CHAMBA",6.41137470761E9,561018.426412,016,CHAMBA,02,"HIMACHAL PRADESH, CHAMBA",HIMACHAL PRADESH,8063499.976470592,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,x02017,"HIMACHAL PRADESH, HAMIRPUR",1.0924555577E9,188675.941772,017,HAMIRPUR,02,"HIMACHAL PRADESH, HAMIRPUR",HIMACHAL PRADESH,2128729.023529411,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,x02018,"HIMACHAL PRADESH, KANGRA",5.63380922767E9,571807.668986,018,KANGRA,02,"HIMACHAL PRADESH, KANGRA",HIMACHAL PRADESH,1.5744372929411758E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,x02020,"HIMACHAL PRADESH, KULLU",5.37932433397E9,422724.960723,020,KULLU,02,"HIMACHAL PRADESH, KULLU",HIMACHAL PRADESH,1.6619689403921574E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,x02022,"HIMACHAL PRADESH, MANDI",3.86714039841E9,335860.110422,022,MANDI,02,"HIMACHAL PRADESH, MANDI",HIMACHAL PRADESH,3.3062923560784295E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,x02023,"HIMACHAL PRADESH, SHIMLA",5.0070285944E9,551672.202552,023,SHIMLA,02,"HIMACHAL PRADESH, SHIMLA",HIMACHAL PRADESH,3.194173820784317E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,x02024,"HIMACHAL PRADESH, SIRMAUR",2.75532603286E9,349597.166859,024,SIRMAUR,02,"HIMACHAL PRADESH, SIRMAUR",HIMACHAL PRADESH,5076540.66666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151,x02025,"HIMACHAL PRADESH, SOLAN",1.88994239194E9,322063.135916,025,SOLAN,02,"HIMACHAL PRADESH, SOLAN",HIMACHAL PRADESH,4711223.192156866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d,x02026,"HIMACHAL PRADESH, UNA",1.50987468054E9,248758.594242,026,UNA,02,"HIMACHAL PRADESH, UNA",HIMACHAL PRADESH,3462470.466666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fa,x02019,"HIMACHAL PRADESH, KINNAUR",6.36478359095E9,495434.811981,019,KINNAUR,02,"HIMACHAL PRADESH, KINNAUR",HIMACHAL PRADESH,6.538620231372549E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000203,x02021,"HIMACHAL PRADESH, LAHUL & SPITI",1.3723849956E10,925110.633258,021,LAHUL & SPITI,02,"HIMACHAL PRADESH, LAHUL & SPITI",HIMACHAL PRADESH,1.360046607450982E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000187,x01NA,"JAMMU & KASHMIR, MIRPUR",3.57890820759E9,438559.905538,,MIRPUR,01,"JAMMU & KASHMIR, MIRPUR",JAMMU & KASHMIR,2.202554109803919E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000188,x01NA,"JAMMU & KASHMIR, MUZAFFARABAD",4.78221682989E9,594020.745396,,MUZAFFARABAD,01,"JAMMU & KASHMIR, MUZAFFARABAD",JAMMU & KASHMIR,2.398686243921572E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000189,x01010,"JAMMU & KASHMIR, PUNCH",4.20736294054E9,404743.70314,010,PUNCH,01,"JAMMU & KASHMIR, PUNCH",JAMMU & KASHMIR,1.0045820572549019E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018a,x01001,"JAMMU & KASHMIR, ANANTNAG",2.7045916464E9,357458.948993,001,ANANTNAG,01,"JAMMU & KASHMIR, ANANTNAG",JAMMU & KASHMIR,1112507.3490196078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018b,x01003,"JAMMU & KASHMIR, BARAMULA",2.04907398173E9,274658.944043,003,BARAMULA,01,"JAMMU & KASHMIR, BARAMULA",JAMMU & KASHMIR,1.1523407619607849E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018c,x01007,"JAMMU & KASHMIR, KATHUA",2.46125298339E9,312247.411073,007,KATHUA,01,"JAMMU & KASHMIR, KATHUA",JAMMU & KASHMIR,3559942.6862745103,"{""type"":""MultiPoint"",""coordinates"":[]}"
