DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2022-0001-CHN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,CHN,China,Eastern Asia,Asia,Bijie City (Guizhou Province),,,No,No,No,,,,,,,2022,1,3,2022,1,3,13,3,,,3,,,,,,,93.29460735,"[{""adm2_code"":13068,""adm2_name"":""Bijie""}]",2022-01-04,2023-09-25
2022-0002-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000002,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Kerman, Fars, Khuzestan, Hormozgan, Bushehr, Sistan and Baluchestan",Heavy rains,,No,No,No,,,Km2,,,,2022,1,1,2022,1,4,6,14,20000,,20014,,,,,,,93.29460735,"[{""adm1_code"":1540,""adm1_name"":""Bushehr""},{""adm1_code"":1544,""adm1_name"":""Fars""},{""adm1_code"":1548,""adm1_name"":""Hormozgan""},{""adm1_code"":1550,""adm1_name"":""Kerman""},{""adm1_code"":1551,""adm1_name"":""Khuzestan""},{""adm1_code"":1559,""adm1_name"":""Sistan-o baluchestan""}]",2022-01-05,2023-09-25
2022-0007-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"Maryland, Virginia, New Jersey, Washington D.C., Missouri, Tennessee, Georgia",,Cold wave,No,No,Yes,,,Kph,,,,2022,1,2,2022,1,3,5,,,,,,,,,525000,562733,93.29460735,"[{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2022-01-07,2023-09-25
2022-0009-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape Province,Heavy rains,,No,No,No,,,Km2,,,,2022,1,8,2022,1,9,10,,,,,,,,,70000,75031,93.29460735,"[{""adm1_code"":77310,""adm1_name"":""Eastern Cape""}]",2022-01-12,2023-09-25
2022-0011-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000006,,IDN,Indonesia,South-eastern Asia,Asia,Jayapura City (Papua Province); East Java,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,10,2022,1,11,10,,6500,,6500,,,,,,,93.29460735,"[{""adm2_code"":73685,""adm2_name"":""Jayapura""}]",2022-01-12,2025-06-25
2022-0013-FJI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cody',FJI,Fiji,Melanesia,Oceania,"Tavua Town, Nadi City (Viti Levu)",,Flood,No,No,No,,74,Kph,,,,2022,1,8,2022,1,11,1,,69564,,69564,,,,,25000,26797,93.29460735,"[{""adm2_code"":40203,""adm2_name"":""Ba""}]",2022-01-12,2025-03-18
2022-0014-PAK,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,PAK,Pakistan,Southern Asia,Asia,Punjab Province,,Cold wave|Snow/ice,No,No,No,,,Kph,,,,2022,1,7,2022,1,8,22,,,,,,,,,,,93.29460735,"[{""adm1_code"":2276,""adm1_name"":""Punjab""}]",2022-01-12,2023-09-25
2022-0020-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Minas Gerais,"Heavy rains, La Nina","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,1,2022,1,14,15,32,,,32,,,,,90000,96469,93.29460735,"[{""adm1_code"":677,""adm1_name"":""Minas Gerais""}]",2022-01-12,2023-09-25
2022-0032-MDG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MDG,Madagascar,Sub-Saharan Africa,Africa,Antananarivo (Analamanga Region),Tropical Storm named Ana,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,17,2022,1,18,34,2,62112,,62114,,,,,,,93.29460735,"[{""adm2_code"":154522,""adm2_name"":""Antananarivo Atsimondrano""}]",2022-01-19,2023-09-25
2022-0034-SYR,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,SYR,Syrian Arab Republic,Western Asia,Asia,Afrin and Azaz district (Aleppo Governorate) and Harim district (Idleb Governorate),,Cold wave,No,No,No,,,Kph,,,,2022,1,18,2022,1,25,2,,362700,,362700,,,,,,,93.29460735,"[{""adm2_code"":26313,""adm2_name"":""A'zaz""},{""adm2_code"":26314,""adm2_name"":""Afrin""},{""adm2_code"":26364,""adm2_name"":""Harim""}]",2022-01-20,2023-09-25
2022-0035-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,Ladysmith and Msinga (KwaZulu-Natal Province),Heavy rains,,No,No,No,,,Km2,,,,2022,1,15,2022,1,16,1,,100,,100,,,,,105000,112547,93.29460735,"[{""adm1_code"":77311,""adm1_name"":""KwaZulu-Natal""}]",2022-01-20,2024-10-28
2022-0037-URY,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,URY,Uruguay,Latin America and the Caribbean,Americas,"Montevideo Capital City, Canelones Municipality",Heavy rains,,No,No,No,,,Km2,,,,2022,1,17,2022,1,18,,,160,,160,,,,,,,93.29460735,"[{""adm1_code"":3266,""adm1_name"":""Canelones""},{""adm1_code"":3274,""adm1_name"":""Montevideo""}]",2022-01-20,2024-08-27
2022-0043-ZMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2022-000135,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Namwala, Kalomo and Choma Districts",Heavy rains,,No,No,No,,,Km2,,,Kafue River,2022,1,11,2022,2,2,3,,21582,,21582,,,,,,,93.29460735,"[{""adm2_code"":65228,""adm2_name"":""Choma""},{""adm2_code"":65231,""adm2_name"":""Kalomo""},{""adm2_code"":65236,""adm2_name"":""Namwala""}]",2022-01-21,2023-09-25
2022-0043-ZWE,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2022-000135,,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,Victoria Falls City (Matabeleland North Province),Heavy rains,,No,No,No,,,Km2,,,,2022,1,13,2022,1,21,,,,,,,,,,,,93.29460735,"[{""adm1_code"":69549,""adm1_name"":""Matabeleland North""}]",2022-01-21,2023-09-25
2022-0044-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Kerman province,,,No,No,No,,,Km2,,,,2022,1,15,2022,1,21,,1,18000,,18001,,,,,,,93.29460735,"[{""adm1_code"":1550,""adm1_name"":""Kerman""}]",2022-01-21,2023-09-25
2022-0046-AUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Eastern Queensland,Remanant Tropical Cyclone Seth,,No,No,No,,,Km2,,,,2022,1,8,2022,1,13,2,,200,,200,,,,,80000,85750,93.29460735,"[{""adm1_code"":473,""adm1_name"":""Queensland""}]",2022-01-21,2023-09-25
2022-0052-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:SS-2021-000196|GLIDE:TC-2022-000161,Tropical storm 'Ana',MDG,Madagascar,Sub-Saharan Africa,Africa,Analamanga region,,,No,No,No,,,Kph,,,,2022,1,22,2022,1,25,55,,131555,,131555,,,,,,,93.29460735,"[{""adm1_code"":41752,""adm1_name"":""Analamanga""}]",2022-01-27,2023-09-25
2022-0052-MOZ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:SS-2021-000196|GLIDE:TC-2022-000161,Tropical storm 'Ana',MOZ,Mozambique,Sub-Saharan Africa,Africa,"Nampula, Zambezia, Tete , Cabo Delgado, Sofala, Niassa provinces.",,Flood,No,No,No,,100,Kph,,,,2022,1,24,2022,1,25,38,207,185429,,185636,,,,,,,93.29460735,"[{""adm1_code"":2112,""adm1_name"":""Cabo Delgado""},{""adm1_code"":2118,""adm1_name"":""Nampula""},{""adm1_code"":2119,""adm1_name"":""Niassa""},{""adm1_code"":2120,""adm1_name"":""Sofala""},{""adm1_code"":2121,""adm1_name"":""Tete""},{""adm1_code"":2122,""adm1_name"":""Zambezia""}]",2022-01-27,2023-09-25
2022-0052-MWI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:SS-2021-000196|GLIDE:TC-2022-000161,Tropical storm 'Ana',MWI,Malawi,Sub-Saharan Africa,Africa,"Nsanje, Chikwawa districs",,,No,No,Yes,,,Kph,,,,2022,1,22,2022,1,25,64,206,945728,,945934,,,,,,,93.29460735,"[{""adm2_code"":19322,""adm2_name"":""Chikwawa""},{""adm2_code"":19328,""adm2_name"":""Nsanje""}]",2022-01-27,2023-09-25
2022-0052-ZWE,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:SS-2021-000196|GLIDE:TC-2022-000161,Tropical storm 'Ana',ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Kariba, Hurungwe districts (Mashonaland West) ; Muzarabani district (tMashonaland Central); Mudzi, Chikomba districts (Mashonaland East); Masvingo rural, Chici districts (Masvingo); Mutasa, Chimanimani, Chipinge, Nyanga districts (Manicaland)",,,No,No,No,,,Kph,,,,2022,1,25,2022,1,25,,,3000,,3000,,,,,,,93.29460735,"[{""adm2_code"":33054,""adm2_name"":""Chimanimani""},{""adm2_code"":33055,""adm2_name"":""Chipinge""},{""adm2_code"":33058,""adm2_name"":""Mutasa""},{""adm2_code"":33059,""adm2_name"":""Nyanga""},{""adm2_code"":33061,""adm2_name"":""Centenary""},{""adm2_code"":33076,""adm2_name"":""Hurungwe""},{""adm2_code"":33078,""adm2_name"":""Kariba""},{""adm2_code"":33083,""adm2_name"":""Chivi""},{""adm2_code"":33085,""adm2_name"":""Masvingo""},{""adm2_code"":33070,""adm2_name"":""Mudzi""},{""adm2_code"":40749,""adm2_name"":""Chikomba""}]",2022-02-10,2024-04-23
2022-0053-UGA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,UGA,Uganda,Sub-Saharan Africa,Africa,"Nyarusiza, Muramba and Bunagana (Kisoro District)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,24,2022,1,27,9,,1500,,1500,,,,,,,93.29460735,"[{""adm1_code"":3125,""adm1_name"":""Kisoro""}]",2022-01-27,2023-09-25
2022-0055-RWA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,RWA,Rwanda,Sub-Saharan Africa,Africa,"Rubavu, Nyabihu, Ngorero, Muhanga, Huye, Rusizi and Gisagara",,Lightening|Storm,No,No,No,,,Km2,,,,2022,1,1,2022,1,27,15,37,750,,787,,,,,,,93.29460735,"[{""adm2_code"":21980,""adm2_name"":""Gisagara""},{""adm2_code"":21981,""adm2_name"":""Huye""},{""adm2_code"":21987,""adm2_name"":""Muhanga""},{""adm2_code"":21990,""adm2_name"":""Ngororero""},{""adm2_code"":21991,""adm2_name"":""Nyabihu""},{""adm2_code"":21998,""adm2_name"":""Rubavu""},{""adm2_code"":22001,""adm2_name"":""Rusizi""}]",2022-01-27,2023-09-25
2022-0058-PER,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PER,Peru,Latin America and the Caribbean,Americas,Machu Picchu Pueblo District (Cusco Department),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,21,2022,1,23,1,,500,,500,,,,,,,93.29460735,"[{""adm2_code"":24084,""adm2_name"":""Urubamba""}]",2022-01-27,2024-04-23
2022-0060-AFG,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,AFG,Afghanistan,Southern Asia,Asia,Kunar Province,,,No,No,No,,,,,,,2022,2,7,2022,2,7,19,,,,,,,,,,,93.29460735,"[{""adm1_code"":288,""adm1_name"":""Kunar""}]",2022-02-07,2024-04-23
2022-0061-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000160,Cyclone 'Batsirai',MDG,Madagascar,Sub-Saharan Africa,Africa,"Fianarantsoa and Ambositra ; Manakara Atsimo, Ikongo District (Fitovinany Region); Nosy-Varika, Mananjary (Vatovavy Region)",,Flood,No,No,No,,235,Kph,,,,2022,2,5,2022,2,7,92,,112115,,112115,,,,,,,93.29460735,"[{""adm1_code"":41757,""adm1_name"":""Atsimo Atsinanana""},{""adm2_code"":154515,""adm2_name"":""Ambositra""},{""adm2_code"":154577,""adm2_name"":""Fianarantsoa I""},{""adm2_code"":154612,""adm2_name"":""Ikongo""},{""adm2_code"":154613,""adm2_name"":""Manakara Atsimo""},{""adm2_code"":154614,""adm2_name"":""Mananjary""},{""adm2_code"":154615,""adm2_name"":""Nosy-Varika""}]",2022-02-08,2025-06-25
2022-0061-MUS,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000160,Cyclone 'Batsirai',MUS,Mauritius,Sub-Saharan Africa,Africa,,,,No,No,No,,151,Kph,,,,2022,2,2,2022,2,2,1,,139,,139,,,,,,,93.29460735,,2022-02-09,2025-06-25
2022-0061-REU,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000160,Cyclone 'Batsirai',REU,Réunion,Sub-Saharan Africa,Africa,,,,No,No,No,,,Kph,,,,2022,2,5,2022,2,6,,13,,,13,,,,,,,93.29460735,,2022-02-09,2025-06-25
2022-0065-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Sao Paulo state,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,1,2022,2,4,35,12,3000,,3012,,,,,72000,77175,93.29460735,"[{""adm1_code"":689,""adm1_name"":""Sao Paulo""}]",2022-02-08,2023-09-25
2022-0068-ECU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000164,,ECU,Ecuador,Latin America and the Caribbean,Americas,"Guayas, Cotopaxi, El Oro and Los Ríos; Quito (Pichincha)",Heavy rains,,No,No,No,,,Km2,,,,2022,1,28,2022,2,7,29,52,7270,,7322,,,,,53000,56809,93.29460735,"[{""adm1_code"":1140,""adm1_name"":""Cotopaxi""},{""adm1_code"":1141,""adm1_name"":""El Oro""},{""adm1_code"":1147,""adm1_name"":""Los Rios""},{""adm1_code"":22005,""adm1_name"":""Guayas""},{""adm2_code"":15512,""adm2_name"":""Quito""}]",2022-02-09,2023-09-25
2022-0069-HTI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,HTI,Haiti,Latin America and the Caribbean,Americas,"North-West, North, North-East and Nippes Departments",Heavy rains,,No,No,No,,,Km2,,,,2022,1,30,2022,1,31,5,,12500,,12500,,,,,,,93.29460735,"[{""adm1_code"":1412,""adm1_name"":""Nord""},{""adm1_code"":1413,""adm1_name"":""Nord Est""},{""adm1_code"":1414,""adm1_name"":""Nord Ouest""},{""adm1_code"":72912,""adm1_name"":""Nippes""}]",2022-02-09,2023-09-25
2022-0073-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,La Esnada District of Pereira City (Risaralda department),Heavy rains,,No,No,No,,,,,,,2022,2,1,2022,2,8,19,34,9117,,9151,,,,,,,93.29460735,"[{""adm2_code"":14198,""adm2_name"":""Pereira""}]",2022-02-09,2024-04-23
2022-0077-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,Gauteng Province; KwaZulu-Natal,Heavy rains,,No,No,No,,,Km2,,,,2022,2,4,2022,2,5,3,,,138,138,,,,,,,93.29460735,"[{""adm1_code"":2708,""adm1_name"":""Gauteng""},{""adm1_code"":77311,""adm1_name"":""KwaZulu-Natal""}]",2022-02-09,2023-09-25
2022-0080-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Hale, Sumter, Elmore Counties (central Alabama); Rockies, Plains, Mid-Atlantic, Northeasr",,,No,No,No,,,Kph,,,,2022,2,1,2022,2,5,10,,,,,,,,,526000,563805,93.29460735,"[{""adm2_code"":28716,""adm2_name"":""Elmore""},{""adm2_code"":28723,""adm2_name"":""Hale""},{""adm2_code"":28750,""adm2_name"":""Sumter""}]",2022-02-09,2025-03-18
2022-0081-CZE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),CZE,Czechia,Eastern Europe,Europe,,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,1,,,,,,,,,,,93.29460735,,2022-02-09,2023-09-25
2022-0081-DEU,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),DEU,Germany,Western Europe,Europe,,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,1,2,,,2,,,,,,,93.29460735,,2022-02-09,2023-09-25
2022-0081-DNK,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),DNK,Denmark,Northern Europe,Europe,,,Surge,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,1,3,,,3,,,,,,,93.29460735,,2022-02-09,2023-09-25
2022-0081-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Scotland,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,2,,,,,,,,,,,93.29460735,"[{""adm1_code"":3184,""adm1_name"":""Scotland""}]",2022-02-09,2024-04-23
2022-0081-NOR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),NOR,Norway,Northern Europe,Europe,Rogaland and Vestland counties,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,,,,,,,,,,,,93.29460735,"[{""adm1_code"":2249,""adm1_name"":""Hordaland""},{""adm1_code"":2256,""adm1_name"":""Rogaland""},{""adm1_code"":2258,""adm1_name"":""Sogn og Fjordane""}]",2022-02-10,2024-04-23
2022-0081-POL,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),POL,Poland,Eastern Europe,Europe,,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,1,12,,,12,,,,,,,93.29460735,,2022-02-09,2023-09-25
2022-0086-HND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,HND,Honduras,Latin America and the Caribbean,Americas,"Cortés, Atlántida and Islas de la Bahía",Heavy rains,,No,No,No,,,Km2,,,,2022,2,14,2022,2,15,,,1800,,1800,,,,,,,93.29460735,"[{""adm1_code"":1420,""adm1_name"":""Atlantida""},{""adm1_code"":1425,""adm1_name"":""Cortes""},{""adm1_code"":1429,""adm1_name"":""Islas De Bahia""}]",2022-02-16,2023-09-25
2022-0087-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Tegal Regency (Central Java Province); Bengkalis Regency (Riau Province, Sumatra Island); Gresik Regency (East Java Province); West Kalimatan",Heavy rains,,No,No,No,,,Km2,,,,2022,2,10,2022,2,15,1,,14700,,14700,,,,,12000,12862,93.29460735,"[{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm2_code"":18060,""adm2_name"":""Tegal""},{""adm2_code"":18069,""adm2_name"":""Gresik""},{""adm2_code"":73651,""adm2_name"":""Bengkalis""}]",2022-02-16,2024-04-23
2022-0089-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,"Miracema, Laje do Muriae, Santo Antonio de Padua, Italva and Itaocara municipalities (Rio de Janeiro state)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,2022,2,13,2022,2,16,272,197,15000,886,16083,,,,,27000,28941,93.29460735,"[{""adm1_code"":671,""adm1_name"":""Distrito Federal""},{""adm1_code"":676,""adm1_name"":""Mato Grosso Do Sul""},{""adm2_code"":6442,""adm2_name"":""Sao Jose Da Laje""},{""adm2_code"":9925,""adm2_name"":""Italva""},{""adm2_code"":9926,""adm2_name"":""Itaocara""},{""adm2_code"":9930,""adm2_name"":""Laje Do Muriae""},{""adm2_code"":9938,""adm2_name"":""Miracema""},{""adm2_code"":9963,""adm2_name"":""Santo Antonio De Padua""}]",2022-02-16,2023-09-25
2022-0091-DOM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,,No,No,No,,,Km2,,,,2022,2,10,2022,2,11,,,257,,257,,,,,,,93.29460735,,2022-02-16,2023-09-25
2022-0091-PRI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PRI,Puerto Rico,Latin America and the Caribbean,Americas,San Juan area,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,2,4,2022,2,6,,,,,,,,,,17000,18222,93.29460735,"[{""adm1_code"":2421,""adm1_name"":""San Juan""}]",2022-02-16,2023-09-25
2022-0096-PSE,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,GLIDE:CW-2022-000163,,PSE,State of Palestine,Western Asia,Asia,West Bank & Gaza Strip,,,No,No,No,,,°C,,,,2022,1,26,2022,1,31,4,,3500,,3500,,,,,,,93.29460735,,2022-02-17,2023-09-25
2022-0097-CZE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),CZE,Czechia,Eastern Europe,Europe,Sn?žka,,,No,No,No,,181,Kph,,,,2022,2,16,2022,2,17,,3,,,3,,,,,,,93.29460735,,2022-02-18,2023-09-25
2022-0097-DEU,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),DEU,Germany,Western Europe,Europe,"Brocken, Kahler Asten; North Rhine-Westphalia; Lower Saxony, Saxony-Anhalt",,Flood,Yes,No,No,,152,Kph,,,,2022,2,16,2022,2,17,3,,,,,,,,,,,93.29460735,"[{""adm1_code"":1316,""adm1_name"":""Niedersachsen""},{""adm1_code"":1317,""adm1_name"":""Nordrhein-Westfalen""},{""adm1_code"":1321,""adm1_name"":""Sachsen-Anhalt""}]",2022-02-18,2024-04-23
2022-0097-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cumbria, North Yorkshire, and Lancashire; Scotland, West Midlands County",,,No,No,No,,130,Kph,,,,2022,2,16,2022,2,17,1,,,,,,,,,,,93.29460735,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""}]",2022-02-18,2024-04-23
2022-0097-POL,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),POL,Poland,Eastern Europe,Europe,"Krakow, Mazowieckie, Wielkopolskie, Kujawsko-Pomorskie and Zachodniopomorskie.",,,Yes,No,No,,80,Kph,,,,2022,2,16,2022,2,17,2,,1500,,1500,,,,,,,93.29460735,"[{""adm1_code"":2371,""adm1_name"":""Kujawsko-Pomorskie""},{""adm1_code"":2376,""adm1_name"":""Mazowieckie""},{""adm1_code"":2384,""adm1_name"":""Wielkopolskie""},{""adm1_code"":2385,""adm1_name"":""Zachodnio-Pomorskie""},{""adm2_code"":24400,""adm2_name"":""Krakow""},{""adm2_code"":24401,""adm2_name"":""Krakow I""},{""adm2_code"":24402,""adm2_name"":""Krakow II""}]",2022-02-18,2024-04-23
2022-0099-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dumako',MDG,Madagascar,Sub-Saharan Africa,Africa,Analanjirofo Region,,,No,No,No,,75,Kph,,,,2022,2,15,2022,2,16,14,,9900,,9900,,,,,,,93.29460735,"[{""adm1_code"":41753,""adm1_name"":""Analanjirofo""}]",2022-02-18,2023-09-25
2022-0099-MOZ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dumako',MOZ,Mozambique,Sub-Saharan Africa,Africa,"Zambezia, Nampula, Niassa,Tete, Sofala, and Manica provinces",,,No,No,No,,66,Kph,,,,2022,2,18,2022,2,18,14,,23733,,23733,,,,,,,93.29460735,"[{""adm1_code"":2115,""adm1_name"":""Manica""},{""adm1_code"":2118,""adm1_name"":""Nampula""},{""adm1_code"":2119,""adm1_name"":""Niassa""},{""adm1_code"":2120,""adm1_name"":""Sofala""},{""adm1_code"":2121,""adm1_name"":""Tete""},{""adm1_code"":2122,""adm1_name"":""Zambezia""}]",2022-04-08,2023-09-25
2022-0100-KOR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,KOR,Republic of Korea,Eastern Asia,Asia,Yeongdeok County (North Gyeongsang Province); Hapcheon County; Goryeong County; Gangwon Provinces; Uljin and Samcheok cities,Strong winds and dry atmospheric conditions,,No,No,No,,,Km2,,,,2022,2,15,2022,3,7,,,7000,1080,8080,,,,,,,93.29460735,"[{""adm1_code"":2437,""adm1_name"":""Kang-won-do""},{""adm1_code"":2440,""adm1_name"":""Kyongsangbuk-do""},{""adm1_code"":2441,""adm1_name"":""Kyongsangnam-do""}]",2022-02-18,2024-08-27
2022-0101-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000175,Cyclone 'Emnati',MDG,Madagascar,Sub-Saharan Africa,Africa,Androka Municipality (Atsimo-Andrefana Region),,,No,No,No,,140,Kph,,,,2022,2,23,2022,2,24,15,,169000,,169000,,,,,16000,17150,93.29460735,"[{""adm1_code"":41756,""adm1_name"":""Atsimo Andrefana""}]",2022-02-24,2025-03-18
