DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2024-0465-KOR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,KOR,Republic of Korea,Eastern Asia,Asia,"Chupungnyeong, Geumsan, Gunsan, Nonsan, Seocheon and Daegu (South Chungcheong and the North Jeolla provinces)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,7,10,2024,7,11,4,,3500,,3500,,,,,250000,250000,100,,2024-07-11,2025-01-29
2024-0471-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropica storm 'Chris',MEX,Mexico,Latin America and the Caribbean,Americas,"Veracruz, Mexico city",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,65,Kph,,,,2024,6,30,2024,6,30,6,,20000,,20000,,,,,,,100,,2024-07-12,2024-07-29
2024-0474-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Iowa, South Dakota, Minnesota, Nebraska, Wisconsin and Michigan.",Heavy rains,,No,No,No,,,Km2,,,,2024,6,16,2024,6,23,4,,6000,,6000,,,,,1100000,1100000,100,,2024-07-15,2025-01-22
2024-0477-NPL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,NPL,Nepal,Southern Asia,Asia,Chitwan District,Heavy rain,,No,No,No,,,,,,,2024,7,13,2024,7,15,62,,,,,,,,,,,100,,2024-07-15,2024-08-19
2024-0478-NPL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,NPL,Nepal,Southern Asia,Asia,"Baglung, Chitawan, Kaski, and Myagdi districts (Gandaki and Bagmati provinces)",,,No,No,No,,,,,,,2024,7,10,2024,7,15,25,13,,,13,,,,,,,100,,2024-07-15,2024-07-23
2024-0479-VNM,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ta Mo village (Bac Me district, Ha Giang province)","Heavy rain, tropical depression Three",,No,No,No,,,,,,,2024,7,12,2024,7,13,11,4,230,,234,,,,,,,100,,2024-07-15,2024-07-17
2024-0481-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Pratapgarh, Sultanpur, Chandauli, Mainpuri, Prayagraj, Auraiya, Deoria, Hathras, Varanasi and Siddharthnagar districts (Uttar Pradesh); Assam",Monsoon rain,Lightening,No,No,No,,,Km2,,,,2024,7,9,2024,7,15,125,20,1000000,,1000020,,,,,,,100,,2024-07-15,2024-07-23
2024-0481-PAK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PAK,Pakistan,Southern Asia,Asia,"Punjab, Sindh, Balochistan and Khyber Pakhtunkhwa provinces",Mosoon rain,,No,No,No,,,Km2,,,,2024,7,1,2024,8,29,368,700,551068,,551768,,,,,,,100,,2024-07-23,2024-09-26
2024-0482-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Chengxi town (Dianjiang county) and Yuntai town (Changshou county), Chongqing municipality",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,7,11,2024,7,15,6,,7000,,7000,,,,,,,100,,2024-07-15,2024-07-22
2024-0486-AFG,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,AFG,Afghanistan,Southern Asia,Asia,"Achin, Bati Kot, Behsud, Chaparhar, Haska Mina, Jalalabad, Momandara, Rodat and Surkhrud districts (Nangarhar); Alingar, Alishang, Badpakh, Dawlatshah, Mehtarlam and Qarghayi districts (Laghman); Asadabad, Bar-Kunar, Dare-e-Pech, Khas Kunar, Marawara, Shigal, Sirkani and Watapur districts (Kunar); Jorm district (Badakhshan); Guzargah Noor district, Khwaja Hijran (Baghlan); Kamdesh, Mandul and Wama districts (Nuristan)",Heavy rains,Lightening|Storm,No,No,No,,,Km2,,,,2024,7,15,2024,7,15,58,380,9625,,10005,,,,,,,100,,2024-07-16,2024-08-02
2024-0487-KGZ,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KGZ,Kyrgyzstan,Central Asia,Asia,Osh city (Osh city region),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Ak-Buura river,2024,7,14,2024,7,16,6,,3000,,3000,,,,,,,100,,2024-07-16,2024-07-23
2024-0499-LBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2024-000116,,LBR,Liberia,Sub-Saharan Africa,Africa,"Bong, Grand Cape Mount, Montserrado, Margibi, Grand Bassa",Heavy rains,,No,Yes,No,,,Km2,,,,2024,6,28,2024,7,9,2,,51000,,51000,,,,,,,100,,2024-07-16,2024-11-12
2024-0509-ETH,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2024-000125,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Oromia, Sidama, Amhara, Tigray, Gambella, Central, Southwestern and Southern regions",Heavy rains,Flood,No,No,No,,,,,,,2024,7,,2024,7,,257,12,15515,,15527,,,,,,,100,,2024-07-23,2025-07-16
2024-0512-BFA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2024-000123,,BFA,Burkina Faso,Sub-Saharan Africa,Africa,"Boucle Du Mouhoun, Centre-Nord, Hauts-Bassins",Heavy rains,,No,No,No,,,Km2,,,,2024,5,29,2024,6,7,,,7684,,7684,,,,,,,100,,2024-07-23,2024-10-28
2024-0514-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Shangluo (Shaanxi province),,Collapse,No,No,No,,,Km2,,,,2024,7,19,2024,7,19,46,,,,,,,,,,,100,,2024-07-23,2024-10-28
2024-0518-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,CAN,Canada,Northern America,Americas,"Windsor, Sarnia, London, Watford, Petrolia, Mississauga, Vaughan, Hamilton, Milton, Oakville, Burlington, Kitchener/Waterloo (Toronto)",,Flood,No,No,No,,,Kph,,,,2024,7,13,2024,7,17,,,20,,20,,,,,2250000,2250000,100,,2024-07-23,2025-02-21
