DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Country,Location,State,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2024-0481-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Pratapgarh, Sultanpur, Chandauli, Mainpuri, Prayagraj, Auraiya, Deoria, Hathras, Varanasi and Siddharthnagar districts (Uttar Pradesh); Assam",Uttar Pradesh,Monsoon rain,Lightening,No,No,No,,,Km2,,,,2024,7,9,2024,7,15,125,20,1000000,,1000020,,,,,,,100,,2024-07-15,2024-07-23
2024-0481-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Pratapgarh, Sultanpur, Chandauli, Mainpuri, Prayagraj, Auraiya, Deoria, Hathras, Varanasi and Siddharthnagar districts (Uttar Pradesh); Assam",Assam,Monsoon rain,Lightening,No,No,No,,,Km2,,,,2024,7,9,2024,7,15,125,20,1000000,,1000020,,,,,,,100,,2024-07-15,2024-07-23
2024-0547-IND,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,India,"Mundakkai, Chooralmala, Attamala, and Noolpuzha villages (Wayanad district, Kerala state)",Kerala,Monsoon rain,,No,No,No,,,,,,,2024,7,30,2024,7,30,378,91,,3000,3091,,,,,140000,140000,100,,2024-07-31,2025-02-06
2024-0561-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Mandi, Kullu, Shimla districts (Himachal Pradesh)",Himachal Pradesh,Heavy rains,,No,No,No,,,Km2,,,,2024,7,31,2024,8,23,46,,,,,,,,,,,100,,2024-08-01,2025-03-18
2024-0624-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,India,Tripura state,Tripura,Heavy rains,,No,No,No,,,Km2,,,,2024,8,19,2024,8,23,26,,1700000,,1700000,,,,,,,100,,2024-08-23,2024-10-22
2024-0627-IND,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,India,"Dipu Dara village (Singtam municipality, Gangtok district, Sikkim state)",Sikkim,Heavy rains,,No,No,No,,,,,,,2024,8,22,2024,8,22,10,,90,,90,,,,,,,100,,2024-08-22,2024-08-23
2024-0647-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Gujarat, Maharashtra, Tripura States",Gujarat,Monsoon rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2024,8,26,2024,8,27,25,23,8007150,,8007173,,,,,,,100,,2024-08-29,2024-10-22
2024-0647-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Gujarat, Maharashtra, Tripura States",Maharashtra,Monsoon rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2024,8,26,2024,8,27,25,23,8007150,,8007173,,,,,,,100,,2024-08-29,2024-10-22
2024-0647-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Gujarat, Maharashtra, Tripura States",Tripura,Monsoon rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2024,8,26,2024,8,27,25,23,8007150,,8007173,,,,,,,100,,2024-08-29,2024-10-22
2024-0719-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,Meghalaya,Meghalaya,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,10,4,2024,10,7,15,,,,,,,,,,,100,,2024-10-09,2024-10-28
2024-0778-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dana',India,Odisha and West Bengal,Odisha,,Flood|Surge,No,No,No,,120,Kph,,,,2024,10,24,2024,10,25,9,12,3810000,,3810012,,,,,73300,73300,100,,2024-10-28,2025-01-22
2024-0778-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dana',India,Odisha and West Bengal,West Bengal,,Flood|Surge,No,No,No,,120,Kph,,,,2024,10,24,2024,10,25,9,12,3810000,,3810012,,,,,73300,73300,100,,2024-10-28,2025-01-22
2024-0881-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000219,Storm 'Fengal',India,"Chennai city, Ooty town, Vellore city , Puducherry city (Tamil Nadu)",Tamil Nadu,,"Flood|Slide (land, mud, snow, rock)|Surge",No,No,No,,80,Kph,,,,2024,12,1,2024,12,1,20,,,,,,,,,,,100,,2024-12-06,2024-12-19
