state_district_census11_code,state,district,perceived,imd_flood_count,assessed,gap,FlowAcc_sum,mean_monthly_avg_rd_MD,precip_sum_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,Tone_Avg,flood_news_count,fear_share,ntl_mean,population
1001,Jammu & Kashmir,Kupwara,69.6718217488539,10.0,15.873015873015873,-53.79880587583803,1578699.8117647062,0.59219472,213.0928192,13.87476418,-0.3608314854039348,1.8727511270353576,-2.643171806,1.0,0.136363636,0.5603038868912007,435690.0
1002,Jammu & Kashmir,Badgam,73.0223096965194,11.0,17.46031746031746,-55.561992236201945,802218.56862745,1.522485322,250.0730438,15.27257538,-0.3209438850178938,-0.8161955988788456,,,,1.4678555672545106,397371.0
1005,Jammu & Kashmir,Punch,76.6553022807148,17.0,26.984126984126984,-49.67117529658782,10045820.57254902,0.963361707,268.8533325,19.80024821,-0.228072350368325,-0.8161955988788456,-3.333333333,1.0,0.285714286,0.96280279852963,268157.0
1006,Jammu & Kashmir,Rajouri,62.2338613635501,16.0,25.396825396825395,-36.8370359667247,1719526.9686274503,1.09525397,217.3729248,23.02574615,,,,,,1.120406996153822,374106.0
1007,Jammu & Kashmir,Kathua,66.6578950344786,16.0,25.396825396825395,-41.26106963765321,3559942.6862745103,1.283567074,361.1072693,23.64694491,-0.1531139084924148,-0.8161955988788456,,,,1.2824219312424523,390967.0
1008,Jammu & Kashmir,Baramula,85.0007489415773,17.0,26.984126984126984,-58.01662195745031,11523407.619607847,0.890313254,179.5426788,16.35761414,-0.0560802778692467,-0.8161955988788456,-3.237410072,1.0,0.203125,0.8590996668044548,592051.0
1009,Jammu & Kashmir,Bandipore,84.1909784623129,9.0,14.285714285714286,-69.9052641765986,6508651.337254908,0.517951081,319.3165894,7.439146154,,,,,,0.4851471853172812,225664.0
1010,Jammu & Kashmir,Srinagar,87.441405231397,0.0,0.0,-87.441405231397,2037538.270588236,8.085372465,91.18547058,15.15391922,1.5490535432541106,0.634597479467256,,,,7.699391644888934,831919.0
1011,Jammu & Kashmir,Ganderbal,78.1911113682749,21.0,33.333333333333336,-44.85777803494157,1329108.5764705886,0.884460345,126.4735489,8.532266998,-0.4141799769685845,-0.8161955988788456,-5.2031881455,2.0,0.1070460705,0.8588569086846465,167646.0
1012,Jammu & Kashmir,Pulwama,80.5279444949292,19.0,30.158730158730158,-50.36921433619904,1753550.996078429,1.337251025,85.51634979,15.10386658,0.2951800613565025,-0.8161955988788456,-4.9619801365,2.0,0.2007337525,1.296178701271978,342744.0
1013,Jammu & Kashmir,Shupiyan,67.6849281312847,9.0,14.285714285714286,-53.39921384557042,185951.96862745093,0.928534885,124.9031677,14.34805679,-0.2013579900962941,-0.8161955988788456,,,,0.9455935760917674,156035.0
1014,Jammu & Kashmir,Anantnag,70.9999661970454,15.0,23.80952380952381,-47.190442387521585,1112507.3490196078,0.726248319,128.1801758,10.64085943,-0.2815373054742899,-0.0890123687226098,-4.907613448,3.0,0.2803753979999999,0.7188574111840846,588704.0
1015,Jammu & Kashmir,Kulgam,71.1847795273145,8.0,12.698412698412698,-58.48636682890181,954723.2588235292,0.744816416,203.651886,14.91880798,-0.3159742737040041,-0.0648397030369757,,,,0.7413413241840507,249391.0
1016,Jammu & Kashmir,Doda,69.5497807701487,20.0,31.746031746031747,-37.803749024116954,11714586.89019607,0.615561536,319.628479,14.68904583,-0.2709883544885068,0.4958256925602188,,,,0.6224965709908438,234398.0
1017,Jammu & Kashmir,Ramban,83.9091011944354,12.0,19.047619047619047,-64.86148214681634,7803925.63529411,0.892404485,131.3463745,17.17607771,-0.9024901244959938,-0.8161955988788456,-3.278688525,1.0,0.0,0.9152344730146044,153216.0
1018,Jammu & Kashmir,Kishtwar,73.4593839592524,10.0,15.873015873015873,-57.58636808623653,18147284.17254903,0.516460876,758.357666,4.748200378,-0.4784824584048546,-0.8161955988788456,-3.766478343,1.0,0.240506329,0.5184433311975776,131570.0
1019,Jammu & Kashmir,Udhampur,86.5722672983325,13.0,20.634920634920636,-65.93734666341187,1192937.4901960776,1.033150662,200.7780151,21.12735596,-0.4443880350751035,-0.8161955988788456,,,,1.0669853582254698,340398.0
1020,Jammu & Kashmir,Reasi,65.1379444859522,10.0,15.873015873015873,-49.26492861293633,13946027.04705882,0.686036268,406.0635376,26.58320279,,,,,,0.8848145608058245,177954.0
1021,Jammu & Kashmir,Jammu,64.0416345408955,37.0,58.73015873015873,-5.311475810736773,15369102.933333345,3.538927961,251.3592072,27.79994202,1.3001077430561383,-0.3871720802442672,-2.7943824922916662,24.0,0.2027656112916666,3.457636609085065,1060773.0
1022,Jammu & Kashmir,Samba,71.3242621082702,10.0,15.873015873015873,-55.45124623525433,241412.9568627451,2.912238515,47.35911179,27.73933716,0.1057258284185908,-0.8161955988788456,,,,2.827579567139122,212894.0
2023,Himachal Pradesh,Chamba,85.0067679959776,27.0,42.857142857142854,-42.14962513883474,8063499.976470592,0.51443007,710.9816284,11.1911714,-0.3336106047477755,-0.8161955988788456,,,,0.5249613685422219,327857.0
2024,Himachal Pradesh,Kangra,81.2741434022431,45.0,71.42857142857143,-9.845571973671667,15744372.929411758,0.788301113,504.7861633,20.99251258,0.925408307651489,0.6934936837374791,-4.097250584,7.0,0.2752544731428571,0.7987734028173021,1048544.0
2025,Himachal Pradesh,Lahul & Spiti,84.1851288986841,51.0,80.95238095238095,-3.2327479463031494,13600466.07450982,0.463476375,603.3314209,0.338723696,0.8958156645449501,0.1372923690893596,,,,0.4604678420279969,22416.0
2026,Himachal Pradesh,Kullu,78.9365368942632,38.0,60.317460317460316,-18.619076576802883,16619689.403921574,0.548684367,613.8300781,8.594989353,0.2313295719902352,0.9054121874251952,,,,0.556066145661671,295684.0
2027,Himachal Pradesh,Mandi,70.6037956993608,23.0,36.507936507936506,-34.095859191424296,33062923.56078429,0.698077276,335.7008667,21.1890346,0.7573888172437152,0.651412905009311,,,,0.7284864623919123,684092.0
2028,Himachal Pradesh,Hamirpur,78.1580040614313,39.0,61.904761904761905,-16.253242156669394,2128729.023529411,0.843033678,107.2720413,24.6526947,1.3095591597847351,0.0646430558312876,-5.16568867175,4.0,0.21653225825,0.8751163912816449,318485.0
2029,Himachal Pradesh,Una,83.2342674293679,40.0,63.492063492063494,-19.74220393730441,3462470.466666666,1.216949593,109.6777649,27.99186925,0.7084019360399013,-0.8161955988788456,,,,1.2570741000650578,355862.0
2030,Himachal Pradesh,Bilaspur,76.6623953435355,19.0,30.158730158730158,-46.503665184805335,41735699.227451056,2.161108589,81.58862305,25.55572255,1.060642973189237,-0.8161955988788456,-0.476152299,4.0,0.18571816775,1.2314418461252528,267885.0
2031,Himachal Pradesh,Solan,64.3243276365089,36.0,57.142857142857146,-7.1814704936517515,4711223.192156866,1.848830246,104.9963455,25.90689697,0.850497347256043,-0.8161955988788456,,,,1.870513171913652,396696.0
2032,Himachal Pradesh,Sirmaur,69.126484451549,64.0,100.0,30.873515548450996,5076540.66666667,0.822665436,327.3011475,24.13712616,0.0481088461084837,-0.8161955988788456,-5.3211960751875,16.0,0.25461968875,0.8467610349097048,340858.0
2033,Himachal Pradesh,Shimla,67.2078028988389,50.0,79.36507936507937,12.15727646624046,31941738.20784317,0.6170157,495.1152344,15.92893982,1.4901029105900525,-0.43454682446604,,,,0.6405903765166597,577096.0
2034,Himachal Pradesh,Kinnaur,74.3147025907324,58.0,92.06349206349206,17.74878947275967,65386202.31372549,0.486101519,397.3496094,2.768824929,0.3447815000907948,0.705327754261907,-4.793850374,10.0,0.269368759,0.4819348503441514,61687.0
3035,Punjab,Gurdaspur,73.0406894759118,10.0,15.873015873015873,-57.16767360289593,5056643.152941174,2.1581163224999997,145.3907318,28.36205368,0.7002832417807805,-0.8161955988788456,-2.047000178,2.0,0.130252101,2.140246372656597,3124146.0
3036,Punjab,Kapurthala,61.8505191803208,18.0,28.571428571428573,-33.27909060889223,11259124.87843138,2.230276214,107.6381073,29.62249756,0.5690256091491916,-0.8161955988788456,,,,2.2029917668315173,560280.0
3037,Punjab,Jalandhar,73.4157890832451,15.0,23.80952380952381,-49.60626527372129,37231531.20000001,3.252545916,64.49984741,29.71549733,1.091514214546988,-0.8161955988788456,-3.956375157125001,8.0,0.152685261875,3.164245553335558,1538907.0
3038,Punjab,Hoshiarpur,87.3002709874798,18.0,28.571428571428573,-58.728842416051236,8505621.376470592,1.446143231,255.7270508,28.9764639,0.698612029962546,-0.8161955988788456,-3.1124771108,5.0,0.2878833377999999,1.4414805322859765,1096931.0
3039,Punjab,Shahid Bhagat Singh Nagar,72.5511018115956,5.0,7.936507936507937,-64.61459387508766,29028273.56470588,2.0321927,28.89740944,29.47791835,0.1639651052173157,-0.8161955988788456,,,,2.0010746496034515,426458.0
3040,Punjab,Fatehgarh Sahib,67.7520072169453,10.0,15.873015873015873,-51.87899134392943,476151.43921568576,2.717867271,28.32686615,29.71260643,0.4020721897542355,-0.8161955988788456,-3.3868679500000005,3.0,0.165884706,2.673513448789949,419039.0
3041,Punjab,Ludhiana,75.4903992413946,14.0,22.22222222222222,-53.26817701917238,40386424.2352941,3.912126494,195.4725952,29.81497628,1.1598738065321936,-0.8161955988788456,-4.897121257636363,22.0,0.1973913454545454,3.813830263875301,2414801.0
3042,Punjab,Moga,70.0006921818097,9.0,14.285714285714286,-55.71497789609541,9538635.121568635,1.911594545,103.159317,30.10331217,-0.0974625838475845,-0.8161955988788456,,,,1.894268216871008,677873.0
3043,Punjab,Firozpur,73.8434233052404,6.0,9.523809523809524,-64.31961378143089,32865554.37843135,1.8765207620000002,64.78542137,30.60774583,-0.0563198515287584,-0.8161955988788456,-3.728362184,1.0,0.186915888,1.8536256856241242,2661554.0
3044,Punjab,Muktsar,61.5416565304735,8.0,12.698412698412698,-48.84324383206081,3560889.2823529444,1.54812086,56.15103912,30.94727478,,,,,,1.5260265481902362,609045.0
3045,Punjab,Faridkot,65.1193213007571,14.0,22.22222222222222,-42.89709907853487,1794787.239215687,1.792516948,76.90367126,30.54084996,0.173403951881767,-0.8161955988788456,-0.877800878,2.0,0.2045454545,1.7692132242952745,419696.0
3046,Punjab,Bathinda,69.3794107833629,17.0,26.984126984126984,-42.39528379923591,5453948.647058837,2.582935778,149.6335297,30.90082296,0.1516614322002058,-0.8161955988788456,,,,2.6032100833094107,963070.0
3047,Punjab,Mansa,63.8699009501676,13.0,20.634920634920636,-43.23498031524696,5079779.039215687,1.430003707,39.92580414,30.73606567,-0.490788519985682,-0.8161955988788456,-5.851979346,1.0,0.102564103,1.4199404415084582,518683.0
3048,Punjab,Patiala,69.5685482876125,5.0,7.936507936507937,-61.632040351104564,5144765.388235292,2.742145386,143.5410767,29.79538836,0.7226246984668276,-0.8161955988788456,-5.4191195102,10.0,0.1899880498,2.7079675773747653,1302479.0
