state,weighted_percent
Andhra Pradesh,27.22
Bihar,62.8
Gujarat,51.71
Karnataka,18.41
Kerala,41.19
Madhya Pradesh,49.39
Maharashtra,53.81
Orissa,62.85
Rajasthan,48.51
Tamil Nadu,36.8
Uttar Pradesh,48.89
West Bengal,47.82
